geo_id,tract,total_18_to_64_2018_ALL,total_18_to_64_2018_BLACK,total_18_to_64_2018_LATINX,total_18_to_64_2018_WHITE,percent_18_to_64_2018_BLACK,percent_18_to_64_2018_LATINX,percent_18_to_64_2018_WHITE,total_18_to_over_2018_ALL,total_18_to_over_2018_BLACK,total_18_to_over_2018_LATINX,total_18_to_over_2018_WHITE,percent_18_to_over_2018_BLACK,percent_18_to_over_2018_LATINX,percent_18_to_over_2018_WHITE,total_assoc_to_higher_2018_ALL,percent_assoc_to_higher_2018_ALL,total_bach_to_higher_2018_ALL,total_bach_to_higher_2018_BLACK,total_bach_to_higher_2018_LATINX,total_bach_to_higher_2018_WHITE,percent_bach_to_higher_2018_ALL,percent_bach_to_higher_2018_BLACK,percent_bach_to_higher_2018_LATINX,percent_bach_to_higher_2018_WHITE, median_income_all_2018 , median_income_black_2018 , median_income_latinx_2018 , median_income_white_2018 ,totalbelowpov_18_to_64_2018,totalbelowpov_black_2018,totalbelowpov_latinx_2018,totalbelowpov_white_2018,pctbelowpov_18_to_64_2018,pctbelowpov_black_2018,pctbelowpov_latinx_2018,pctbelowpov_white_2018
1400000US48015760501,"Census Tract 7605.01, Austin County, Texas",2719,85,264,2323,3.1%,9.7%,85.4%,3788,114,303,3321,3.0%,8.0%,87.7%,1558,44.8%,1374,0,57,1298,39.5%,0.0%,4.1%,94.5%," $ 90,387.00 "," $ 89,750.00 ", - ," $ 92,470.00 ",126,1,166,130,4.7%,0.7%,29.7%,3.2%
1400000US48015760502,"Census Tract 7605.02, Austin County, Texas",3321,426,856,1991,12.8%,25.8%,60.0%,4247,511,916,2772,12.0%,21.6%,65.3%,1069,29.5%,790,22,29,739,21.8%,2.8%,3.7%,93.5%," $ 50,863.00 ", - ," $ 65,850.00 "," $ 52,351.00 ",327,151,287,34,9.8%,22.4%,26.0%,1.0%
1400000US48015760100,"Census Tract 7601, Austin County, Texas",1426,175,547,676,12.3%,38.4%,47.4%,1923,229,651,986,11.9%,33.9%,51.3%,351,19.5%,211,34,45,132,11.7%,16.1%,21.3%,62.6%," $ 48,800.00 "," $ 19,347.00 "," $ 41,667.00 "," $ 60,729.00 ",165,80,87,144,11.6%,24.8%,8.7%,12.5%
1400000US48015760200,"Census Tract 7602, Austin County, Texas",3328,336,1107,1865,10.1%,33.3%,56.0%,4204,489,1194,2477,11.6%,28.4%,58.9%,1392,36.2%,1030,3,55,958,26.8%,0.3%,5.3%,93.0%," $ 63,377.00 "," $ 29,550.00 "," $ 48,906.00 "," $ 94,408.00 ",376,75,529,235,11.3%,14.2%,25.9%,6.9%
1400000US48015760300,"Census Tract 7603, Austin County, Texas",4161,253,1578,2236,6.1%,37.9%,53.7%,5366,304,1701,3267,5.7%,31.7%,60.9%,1048,21.9%,680,0,89,591,14.2%,0.0%,13.1%,86.9%," $ 74,043.00 ", - ," $ 69,273.00 "," $ 82,407.00 ",297,114,322,136,7.1%,28.7%,12.1%,3.6%
1400000US48015760400,"Census Tract 7604, Austin County, Texas",2111,306,205,1526,14.5%,9.7%,72.3%,2932,353,230,2275,12.0%,7.8%,77.6%,823,31.8%,655,0,61,578,25.3%,0.0%,9.3%,88.2%," $ 54,889.00 "," $ 46,471.00 "," $ 45,625.00 "," $ 77,500.00 ",255,189,155,269,12.2%,36.5%,37.9%,10.3%
1400000US48039660300,"Census Tract 6603, Brazoria County, Texas",6853,713,1354,4512,10.4%,19.8%,65.8%,8145,866,1544,5390,10.6%,19.0%,66.2%,3687,51.8%,2708,214,285,2013,38.0%,7.9%,10.5%,74.3%," $ 101,747.00 "," $ 97,161.00 "," $ 117,885.00 "," $ 100,908.00 ",228,87,65,243,3.3%,8.0%,2.4%,3.4%
1400000US48039661000,"Census Tract 6610, Brazoria County, Texas",4394,83,1629,2415,1.9%,37.1%,55.0%,5488,83,1816,3232,1.5%,33.1%,58.9%,1394,29.8%,926,29,194,584,19.8%,3.1%,21.0%,63.1%," $ 72,321.00 "," $ 114,022.00 "," $ 69,718.00 "," $ 72,321.00 ",462,0,673,157,10.5%,0.0%,24.7%,3.9%
1400000US48039661100,"Census Tract 6611, Brazoria County, Texas",2198,173,1001,1006,7.9%,45.5%,45.8%,2563,173,1067,1305,6.7%,41.6%,50.9%,413,18.1%,240,52,40,130,10.5%,21.7%,16.7%,54.2%," $ 53,722.00 "," $ 112,250.00 "," $ 49,400.00 "," $ 53,750.00 ",232,39,308,127,10.6%,15.7%,19.0%,7.5%
1400000US48039661700,"Census Tract 6617, Brazoria County, Texas",1726,61,515,1144,3.5%,29.8%,66.3%,2213,96,598,1493,4.3%,27.0%,67.5%,327,15.7%,235,0,4,231,11.3%,0.0%,1.7%,98.3%," $ 78,830.00 ", - ," $ 72,763.00 "," $ 83,846.00 ",195,0,140,245,11.3%,0.0%,16.5%,12.7%
