unitid_ipeds,opeid8,branchname,campus type,msi,sector,city,state,zip,openadmp_ipeds,Admissions Rate,instsize_ipeds,Latitude,Longitude,AccuracyScore
373784,3493304,All-State Career - Fortis College - Houston South,Branch,,For-profit ,Houston,TX,770821731,Yes,,"Under 1,000",29.732506,-95.648017,1
373784,3493305,All-State Career - Fortis Institute - Houston North,Branch,,For-profit ,Houston,TX,770603551,Yes,,"Under 1,000",29.936876,-95.395243,1
137801,149916,Altierus Career College - Bissonnet,Branch,,Private not-for-profit 2-year,Houston,TX,770368014,Yes,,"1,000 - 4,999",29.676018,-95.545554,1
222567,353900,Alvin Community College,Main,,Public 2-year,Alvin,TX,775114807,Yes,,"5,000 - 9,999",29.397869,-95.241041,1
222567,353911,Alvin Community College - Clemens,Branch,,Public 2-year,Brazoria,TX,774220000,Yes,,"5,000 - 9,999",28.986565,-95.515663,0.9
222567,353913,Alvin Community College - Jester 3,Branch,,Public 2-year,Richmond,TX,774690000,Yes,,"5,000 - 9,999",29.63589,-95.718063,0.9
429085,3153300,American College of Acupuncture and Oriental Medicine,Main,,For-profit ,Houston,TX,770634104,Not applicable,,"Under 1,000",29.735747,-95.524765,
445133,2113610,American InterContinental University - Houston,Branch,,For-profit ,Houston,TX,770424516,Yes,,"Under 1,000",29.727792,-95.54756,0.6
487791,4222003,Arclabs - Houston,Branch,,For-profit ,Houston,TX,770419308,Yes,,"Under 1,000",29.834463,-95.515515,1
379746,4152700,Astrodome Career Centers,Main,,For-profit ,Houston,TX,770542678,Yes,,"Under 1,000",29.679441,-95.421692,1
227748,4146700,Redstone College - Houston,Branch,,For-profit ,Houston,TX,770614004,Yes,,"Under 1,000",29.658611,-95.282536,1
223232,354505,Baylor University,Branch,,Private not-for-profit 4-year,Houston,TX,770029693,No,45.3%,"10,000 - 19,999",29.744016,-95.374909,0.7
175421,239710,Belhaven University - Houston Campus,Branch,,Private not-for-profit 4-year,Houston,TX,770849939,No,,"1,000 - 4,999",29.788399,-95.649516,1
223427,354914,Blinn College - Sealy,Branch,,Public 2-year,Sealy,TX,774749158,Yes,,"10,000 - 19,999",29.77234,-96.125755,1
223506,728700,Brazosport College,Main,,Public 2-year,Lake Jackson,TX,775663199,Yes,,"1,000 - 4,999",29.044965,-95.407977,1
379782,2604700,Center for Advanced Legal Studies,Main,,For-profit ,Houston,TX,770421912,Yes,,"Under 1,000",29.753169,-95.558731,1
466930,638508,Chamberlain College of Nursing - Houston,Branch,,For-profit ,Houston,TX,770412011,No,83.3%,"Under 1,000",29.839438,-95.560229,0.7
