institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.019	0.143	0.011	0.180
1	0.010	0.137	0.012	0.163
2	0.028	0.194	0.018	0.261
3	0.020	0.178	0.014	0.221
4	0.021	0.159	0.013	0.202
5	0.021	0.194	0.013	0.239
6	0.022	0.201	0.016	0.247
7	0.018	0.159	0.013	0.198
8	0.020	0.152	0.013	0.192
9	0.037	0.238	0.015	0.310
10	0.049	0.290	0.020	0.388
11	0.038	0.268	0.020	0.351
12	0.041	0.249	0.023	0.340
13	0.043	0.235	0.026	0.329
14	0.046	0.272	0.025	0.373
15	0.054	0.297	0.035	0.417
16	0.048	0.296	0.028	0.401
17	0.052	0.313	0.027	0.431
18	0.042	0.269	0.026	0.365
19	0.044	0.284	0.028	0.391
20	0.041	0.193	0.027	0.286
21	0.056	0.275	0.030	0.406
22	0.059	0.260	0.035	0.404
23	0.051	0.177	0.049	0.322
24	0.052	0.183	0.048	0.321
25	0.049	0.219	0.042	0.383
26	0.057	0.213	0.057	0.424
27	0.053	0.177	0.042	0.338
28	0.059	0.178	0.048	0.364
29	0.053	0.138	0.067	0.328
30	0.044	0.133	0.068	0.333
31	0.040	0.132	0.073	0.289
32	0.036	0.135	0.075	0.304
33	0.051	0.228	0.045	0.398
34	0.038	0.125	0.043	0.243
35	0.041	0.108	0.057	0.243
36	0.044	0.063	0.033	0.163
37	0.040	0.099	0.037	0.206
38	0.065	0.379	0.033	0.557
39	0.076	0.345	0.027	0.500
40	0.099	0.336	0.024	0.512
