institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.043	0.183	0.044	0.317
1	0.048	0.144	0.044	0.298
2	0.040	0.125	0.045	0.256
3	0.038	0.102	0.049	0.227
4	0.042	0.147	0.057	0.293
5	0.038	0.125	0.064	0.256
6	0.044	0.146	0.044	0.274
7	0.047	0.172	0.045	0.309
8	0.042	0.148	0.049	0.287
9	0.047	0.144	0.069	0.311
10	0.049	0.180	0.066	0.354
11	0.062	0.274	0.047	0.480
12	0.055	0.234	0.049	0.403
13	0.064	0.269	0.039	0.441
14	0.076	0.392	0.044	0.609
15	0.072	0.447	0.038	0.673
16	0.072	0.436	0.033	0.706
17	0.048	0.191	0.038	0.306
18	0.024	0.078	0.152	0.346
