institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.010	0.131	0.009	0.153
1	0.011	0.140	0.009	0.164
2	0.015	0.124	0.009	0.151
3	0.033	0.197	0.009	0.263
4	0.030	0.206	0.018	0.270
5	0.026	0.187	0.011	0.234
6	0.015	0.171	0.016	0.210
7	0.020	0.171	0.020	0.218
8	0.019	0.190	0.012	0.228
9	0.019	0.190	0.007	0.224
10	0.017	0.145	0.014	0.181
11	0.018	0.123	0.013	0.160
12	0.015	0.130	0.011	0.164
13	0.020	0.138	0.016	0.180
14	0.015	0.130	0.010	0.159
15	0.021	0.165	0.018	0.214
16	0.025	0.178	0.021	0.237
17	0.027	0.204	0.018	0.268
18	0.036	0.243	0.024	0.331
19	0.047	0.236	0.032	0.360
20	0.042	0.200	0.062	0.429
21	0.045	0.198	0.064	0.393
22	0.067	0.318	0.035	0.463
23	0.061	0.240	0.036	0.387
24	0.052	0.222	0.042	0.364
25	0.050	0.162	0.064	0.334
26	0.049	0.171	0.046	0.321
27	0.043	0.037	0.040	0.134
