institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.008	0.107	0.011	0.128
1	0.015	0.190	0.010	0.219
2	0.015	0.179	0.011	0.211
3	0.025	0.207	0.010	0.261
4	0.031	0.199	0.013	0.261
5	0.016	0.160	0.016	0.199
6	0.019	0.149	0.013	0.189
7	0.026	0.197	0.013	0.248
8	0.026	0.180	0.011	0.230
9	0.033	0.210	0.012	0.271
10	0.035	0.189	0.019	0.258
11	0.041	0.275	0.022	0.371
12	0.047	0.217	0.059	0.398
13	0.050	0.203	0.050	0.363
14	0.047	0.155	0.049	0.303
15	0.046	0.054	0.045	0.164
