institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.006	0.159	0.007	0.175
1	0.007	0.123	0.011	0.146
2	0.012	0.198	0.008	0.221
3	0.009	0.097	0.015	0.124
4	0.027	0.134	0.009	0.176
5	0.028	0.167	0.014	0.221
6	0.026	0.164	0.014	0.215
7	0.015	0.129	0.015	0.165
8	0.016	0.129	0.013	0.165
9	0.015	0.115	0.018	0.154
10	0.026	0.257	0.020	0.323
11	0.016	0.150	0.010	0.183
12	0.029	0.212	0.018	0.274
13	0.019	0.196	0.009	0.234
14	0.021	0.166	0.015	0.211
15	0.013	0.130	0.009	0.156
16	0.017	0.129	0.010	0.162
17	0.018	0.171	0.009	0.206
18	0.017	0.170	0.009	0.204
19	0.020	0.162	0.012	0.202
20	0.021	0.177	0.012	0.219
21	0.017	0.182	0.011	0.218
22	0.026	0.141	0.015	0.188
23	0.017	0.165	0.012	0.200
24	0.016	0.176	0.014	0.212
25	0.018	0.135	0.012	0.169
26	0.018	0.151	0.013	0.188
27	0.019	0.166	0.016	0.209
28	0.022	0.168	0.017	0.217
29	0.021	0.170	0.016	0.216
30	0.021	0.178	0.017	0.229
31	0.022	0.211	0.016	0.260
32	0.024	0.213	0.019	0.272
33	0.025	0.214	0.015	0.267
34	0.023	0.187	0.023	0.244
35	0.036	0.235	0.018	0.310
36	0.034	0.245	0.015	0.315
37	0.030	0.204	0.019	0.271
38	0.044	0.248	0.016	0.334
39	0.036	0.223	0.016	0.298
40	0.041	0.263	0.021	0.350
41	0.044	0.235	0.020	0.322
42	0.056	0.315	0.018	0.423
43	0.051	0.323	0.022	0.424
44	0.047	0.291	0.023	0.390
45	0.051	0.288	0.025	0.397
46	0.038	0.280	0.020	0.365
47	0.040	0.245	0.022	0.331
48	0.048	0.264	0.022	0.363
49	0.049	0.273	0.024	0.376
50	0.043	0.251	0.022	0.340
51	0.042	0.253	0.023	0.342
52	0.042	0.263	0.022	0.350
53	0.043	0.269	0.022	0.360
54	0.043	0.293	0.024	0.387
55	0.049	0.290	0.028	0.397
56	0.049	0.276	0.026	0.380
57	0.053	0.311	0.024	0.416
58	0.048	0.271	0.026	0.373
59	0.055	0.284	0.030	0.402
60	0.047	0.303	0.024	0.403
61	0.042	0.258	0.028	0.351
62	0.045	0.288	0.033	0.405
63	0.045	0.248	0.031	0.351
64	0.048	0.263	0.025	0.363
65	0.046	0.273	0.024	0.374
66	0.048	0.258	0.030	0.368
67	0.046	0.279	0.029	0.384
68	0.053	0.280	0.035	0.402
69	0.046	0.250	0.027	0.355
70	0.047	0.263	0.027	0.372
71	0.047	0.246	0.028	0.352
72	0.046	0.272	0.026	0.391
73	0.048	0.238	0.030	0.348
74	0.046	0.255	0.027	0.364
75	0.045	0.241	0.029	0.352
76	0.051	0.274	0.032	0.396
77	0.041	0.240	0.030	0.346
78	0.051	0.258	0.029	0.370
79	0.053	0.265	0.034	0.391
80	0.051	0.256	0.029	0.374
81	0.053	0.250	0.032	0.377
82	0.060	0.289	0.033	0.435
83	0.053	0.239	0.029	0.374
84	0.058	0.240	0.032	0.387
85	0.054	0.230	0.032	0.357
86	0.058	0.217	0.036	0.358
87	0.059	0.212	0.040	0.360
88	0.049	0.201	0.036	0.352
89	0.052	0.217	0.035	0.351
90	0.052	0.214	0.038	0.361
91	0.052	0.216	0.038	0.364
92	0.053	0.212	0.036	0.364
93	0.054	0.205	0.050	0.400
94	0.057	0.221	0.050	0.445
95	0.060	0.213	0.061	0.431
96	0.055	0.194	0.059	0.419
97	0.055	0.192	0.058	0.384
98	0.058	0.185	0.067	0.389
99	0.062	0.204	0.060	0.400
100	0.063	0.186	0.064	0.381
101	0.059	0.200	0.075	0.437
102	0.053	0.187	0.072	0.415
103	0.053	0.186	0.068	0.417
104	0.057	0.199	0.068	0.429
105	0.056	0.166	0.070	0.373
106	0.053	0.162	0.091	0.374
107	0.059	0.178	0.075	0.398
108	0.066	0.218	0.061	0.435
109	0.063	0.226	0.063	0.444
110	0.057	0.189	0.059	0.381
111	0.051	0.173	0.061	0.361
112	0.052	0.190	0.061	0.403
113	0.051	0.172	0.056	0.352
114	0.047	0.201	0.057	0.392
115	0.058	0.195	0.060	0.413
116	0.047	0.144	0.043	0.297
117	0.042	0.123	0.070	0.304
118	0.043	0.145	0.055	0.313
119	0.046	0.168	0.048	0.337
120	0.045	0.160	0.054	0.321
121	0.041	0.114	0.048	0.258
122	0.040	0.107	0.058	0.259
123	0.043	0.147	0.067	0.317
124	0.044	0.101	0.082	0.281
125	0.038	0.084	0.073	0.237
126	0.048	0.148	0.066	0.326
127	0.044	0.110	0.065	0.265
128	0.042	0.128	0.061	0.280
129	0.038	0.084	0.058	0.223
130	0.038	0.094	0.059	0.224
131	0.037	0.074	0.049	0.194
132	0.040	0.087	0.042	0.209
133	0.037	0.124	0.049	0.255
134	0.041	0.152	0.047	0.296
135	0.037	0.153	0.045	0.289
136	0.043	0.192	0.035	0.327
137	0.047	0.110	0.024	0.209
138	0.049	0.231	0.022	0.344
139	0.049	0.186	0.041	0.304
140	0.059	0.326	0.055	0.498
141	0.078	0.330	0.032	0.496
142	0.074	0.383	0.037	0.572
143	0.080	0.389	0.042	0.603
144	0.084	0.331	0.026	0.501
145	0.062	0.248	0.051	0.411
146	0.067	0.060	0.031	0.160
