institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.044	0.193	0.042	0.330
1	0.044	0.140	0.048	0.274
2	0.039	0.114	0.053	0.258
3	0.035	0.081	0.057	0.210
4	0.037	0.078	0.050	0.206
5	0.042	0.112	0.057	0.268
6	0.039	0.118	0.048	0.246
7	0.042	0.119	0.048	0.252
8	0.044	0.145	0.046	0.275
9	0.048	0.158	0.048	0.298
10	0.048	0.165	0.050	0.311
11	0.053	0.167	0.053	0.319
12	0.057	0.193	0.051	0.358
13	0.054	0.236	0.058	0.442
14	0.061	0.265	0.046	0.438
15	0.053	0.231	0.048	0.413
16	0.060	0.284	0.042	0.472
17	0.064	0.327	0.040	0.524
18	0.060	0.317	0.036	0.505
19	0.067	0.332	0.043	0.542
20	0.072	0.425	0.031	0.637
21	0.077	0.414	0.032	0.631
22	0.071	0.371	0.040	0.580
23	0.072	0.343	0.045	0.538
24	0.078	0.388	0.057	0.597
25	0.028	0.176	0.027	0.252
26	0.061	0.383	0.066	0.553
27	0.061	0.383	0.066	0.553
28	0.061	0.383	0.066	0.553
29	0.061	0.383	0.066	0.553
31	0.061	0.383	0.066	0.553
