institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.043	0.189	0.043	0.321
1	0.047	0.157	0.046	0.294
2	0.046	0.154	0.047	0.311
3	0.046	0.147	0.051	0.296
4	0.049	0.163	0.051	0.322
5	0.053	0.185	0.050	0.360
6	0.049	0.247	0.041	0.435
7	0.055	0.279	0.052	0.451
8	0.059	0.241	0.067	0.438
9	0.057	0.248	0.065	0.431
10	0.065	0.347	0.062	0.572
11	0.089	0.410	0.067	0.691
12	0.089	0.393	0.068	0.668
13	0.110	0.348	0.060	0.700
