institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.001	0.161	0.001	0.163
1	0.013	0.177	0.007	0.200
2	0.006	0.124	0.010	0.142
3	0.014	0.077	0.016	0.113
4	0.006	0.124	0.011	0.144
5	0.013	0.111	0.010	0.139
6	0.013	0.174	0.008	0.199
7	0.013	0.129	0.009	0.156
8	0.007	0.151	0.012	0.174
9	0.022	0.142	0.010	0.179
10	0.022	0.139	0.010	0.175
11	0.018	0.191	0.014	0.236
12	0.032	0.197	0.012	0.277
13	0.025	0.173	0.010	0.223
14	0.024	0.162	0.009	0.206
15	0.026	0.183	0.007	0.232
16	0.032	0.218	0.018	0.286
17	0.026	0.205	0.020	0.264
18	0.010	0.105	0.015	0.137
19	0.019	0.122	0.004	0.153
20	0.021	0.178	0.010	0.223
21	0.026	0.163	0.015	0.217
22	0.024	0.168	0.014	0.216
23	0.029	0.244	0.026	0.309
24	0.023	0.168	0.015	0.215
25	0.028	0.197	0.017	0.252
26	0.020	0.187	0.012	0.226
27	0.024	0.169	0.012	0.215
28	0.023	0.168	0.015	0.213
29	0.023	0.196	0.012	0.239
30	0.018	0.176	0.008	0.208
31	0.020	0.202	0.007	0.238
32	0.017	0.179	0.006	0.207
33	0.017	0.175	0.006	0.206
34	0.020	0.160	0.008	0.195
35	0.017	0.166	0.006	0.195
36	0.018	0.175	0.008	0.208
37	0.016	0.152	0.011	0.183
38	0.016	0.156	0.015	0.193
39	0.018	0.136	0.010	0.169
40	0.016	0.168	0.007	0.199
41	0.017	0.148	0.010	0.181
42	0.017	0.155	0.012	0.190
43	0.020	0.143	0.013	0.183
44	0.020	0.121	0.013	0.160
45	0.018	0.127	0.013	0.164
46	0.014	0.123	0.012	0.155
47	0.017	0.118	0.012	0.153
48	0.014	0.119	0.010	0.147
49	0.014	0.101	0.010	0.127
50	0.018	0.176	0.010	0.210
51	0.018	0.135	0.012	0.170
52	0.018	0.125	0.014	0.160
53	0.018	0.144	0.014	0.184
54	0.018	0.117	0.021	0.161
55	0.018	0.176	0.017	0.221
56	0.017	0.162	0.013	0.200
57	0.020	0.179	0.014	0.224
58	0.021	0.181	0.018	0.228
59	0.019	0.151	0.015	0.193
60	0.018	0.168	0.014	0.211
61	0.022	0.179	0.018	0.232
62	0.018	0.160	0.018	0.206
63	0.020	0.160	0.015	0.207
64	0.020	0.163	0.016	0.209
65	0.022	0.178	0.013	0.223
66	0.021	0.174	0.013	0.218
67	0.020	0.196	0.015	0.241
68	0.020	0.168	0.019	0.215
69	0.023	0.195	0.018	0.250
70	0.023	0.187	0.017	0.239
71	0.022	0.166	0.025	0.226
72	0.040	0.274	0.019	0.359
73	0.030	0.248	0.017	0.318
74	0.033	0.241	0.016	0.310
75	0.041	0.263	0.018	0.348
76	0.043	0.257	0.019	0.345
77	0.055	0.321	0.017	0.426
78	0.059	0.292	0.022	0.405
79	0.044	0.279	0.024	0.375
80	0.045	0.279	0.027	0.379
81	0.049	0.315	0.029	0.436
82	0.046	0.291	0.026	0.397
83	0.051	0.262	0.035	0.385
84	0.048	0.265	0.024	0.376
85	0.052	0.254	0.027	0.376
86	0.045	0.203	0.033	0.325
87	0.052	0.263	0.031	0.398
88	0.060	0.227	0.042	0.438
89	0.055	0.221	0.059	0.443
90	0.052	0.219	0.051	0.419
91	0.048	0.206	0.048	0.395
92	0.050	0.182	0.074	0.365
93	0.055	0.187	0.069	0.368
94	0.053	0.173	0.061	0.365
95	0.057	0.175	0.070	0.360
96	0.058	0.209	0.052	0.382
97	0.051	0.156	0.047	0.307
98	0.045	0.107	0.052	0.270
99	0.036	0.061	0.053	0.180
100	0.044	0.161	0.058	0.330
101	0.060	0.261	0.035	0.406
102	0.059	0.169	0.079	0.380
103	0.057	0.200	0.122	0.484
