institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.043	0.194	0.039	0.323
1	0.054	0.209	0.051	0.378
2	0.045	0.114	0.059	0.283
3	0.041	0.061	0.058	0.189
4	0.034	0.053	0.058	0.183
5	0.033	0.076	0.066	0.209
6	0.030	0.064	0.063	0.187
7	0.034	0.101	0.065	0.237
8	0.036	0.083	0.063	0.221
9	0.040	0.103	0.064	0.248
10	0.041	0.164	0.060	0.318
11	0.047	0.170	0.059	0.332
12	0.043	0.148	0.045	0.296
13	0.051	0.196	0.040	0.344
14	0.053	0.233	0.037	0.383
15	0.057	0.255	0.033	0.417
16	0.057	0.289	0.030	0.444
17	0.058	0.268	0.033	0.430
18	0.070	0.257	0.035	0.439
19	0.072	0.263	0.051	0.471
20	0.067	0.238	0.046	0.428
21	0.066	0.249	0.039	0.434
22	0.070	0.298	0.038	0.481
23	0.068	0.351	0.030	0.534
24	0.063	0.343	0.028	0.514
25	0.069	0.319	0.052	0.506
26	0.044	0.230	0.040	0.350
27	0.064	0.394	0.063	0.566
28	0.071	0.401	0.064	0.587
29	0.072	0.436	0.056	0.618
30	0.061	0.383	0.066	0.553
31	0.061	0.383	0.066	0.553
32	0.061	0.383	0.066	0.553
35	0.061	0.383	0.066	0.553
