institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.006	0.141	0.004	0.152
1	0.015	0.232	0.005	0.256
2	0.005	0.169	0.012	0.190
3	0.007	0.095	0.014	0.119
4	0.009	0.140	0.006	0.158
5	0.011	0.128	0.007	0.151
6	0.011	0.129	0.009	0.152
7	0.020	0.183	0.005	0.214
8	0.026	0.254	0.022	0.307
9	0.017	0.179	0.007	0.214
10	0.021	0.207	0.011	0.249
11	0.020	0.175	0.008	0.209
12	0.026	0.221	0.009	0.273
13	0.030	0.193	0.013	0.253
14	0.023	0.180	0.014	0.227
15	0.020	0.177	0.012	0.220
16	0.018	0.154	0.010	0.190
17	0.024	0.181	0.015	0.230
18	0.024	0.166	0.017	0.217
19	0.023	0.159	0.012	0.206
20	0.021	0.161	0.011	0.203
21	0.018	0.142	0.016	0.183
22	0.012	0.115	0.006	0.138
23	0.022	0.152	0.011	0.194
24	0.020	0.171	0.012	0.211
25	0.025	0.170	0.013	0.217
26	0.022	0.184	0.010	0.222
27	0.022	0.189	0.011	0.233
28	0.025	0.179	0.012	0.227
29	0.023	0.192	0.013	0.239
30	0.036	0.237	0.015	0.308
31	0.037	0.205	0.017	0.280
32	0.032	0.213	0.021	0.287
33	0.030	0.182	0.018	0.246
34	0.031	0.223	0.016	0.288
35	0.044	0.312	0.015	0.399
36	0.029	0.225	0.016	0.287
37	0.030	0.232	0.019	0.304
38	0.037	0.216	0.027	0.302
39	0.043	0.198	0.030	0.304
40	0.053	0.254	0.028	0.373
41	0.059	0.274	0.030	0.415
42	0.060	0.237	0.048	0.392
43	0.057	0.254	0.045	0.420
44	0.063	0.239	0.049	0.433
45	0.052	0.211	0.046	0.366
46	0.045	0.151	0.052	0.314
47	0.044	0.178	0.060	0.363
48	0.040	0.115	0.053	0.267
49	0.048	0.194	0.045	0.346
50	0.045	0.104	0.041	0.225
51	0.045	0.129	0.074	0.303
52	0.043	0.096	0.095	0.283
53	0.041	0.065	0.070	0.201
