institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.044	0.182	0.045	0.322
1	0.038	0.121	0.042	0.241
2	0.043	0.148	0.043	0.284
3	0.045	0.114	0.049	0.250
4	0.048	0.150	0.053	0.295
5	0.055	0.177	0.046	0.325
6	0.054	0.208	0.054	0.378
7	0.057	0.240	0.049	0.409
8	0.051	0.234	0.044	0.400
9	0.057	0.336	0.060	0.590
10	0.072	0.401	0.060	0.638
11	0.069	0.432	0.031	0.631
12	0.080	0.497	0.040	0.753
13	0.070	0.505	0.035	0.695
14	0.061	0.385	0.066	0.555
