institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.010	0.158	0.011	0.183
1	0.017	0.149	0.012	0.184
2	0.025	0.163	0.014	0.217
3	0.016	0.151	0.013	0.187
4	0.023	0.133	0.017	0.179
5	0.015	0.155	0.011	0.187
6	0.019	0.161	0.010	0.196
7	0.017	0.141	0.012	0.175
8	0.021	0.149	0.023	0.202
9	0.021	0.184	0.015	0.230
10	0.023	0.185	0.020	0.240
11	0.025	0.221	0.016	0.277
12	0.024	0.222	0.016	0.276
13	0.036	0.259	0.015	0.333
14	0.052	0.318	0.018	0.421
15	0.051	0.282	0.022	0.383
16	0.043	0.275	0.021	0.364
17	0.042	0.274	0.025	0.367
18	0.046	0.267	0.024	0.370
19	0.040	0.277	0.024	0.368
20	0.046	0.281	0.025	0.382
21	0.053	0.273	0.026	0.388
22	0.050	0.257	0.024	0.364
23	0.048	0.280	0.026	0.390
24	0.044	0.255	0.020	0.348
25	0.054	0.296	0.031	0.409
26	0.052	0.264	0.030	0.376
27	0.050	0.282	0.039	0.411
28	0.048	0.226	0.035	0.339
29	0.054	0.267	0.031	0.393
30	0.058	0.235	0.036	0.364
31	0.044	0.195	0.032	0.304
32	0.049	0.210	0.041	0.333
33	0.045	0.219	0.035	0.342
34	0.050	0.207	0.048	0.339
35	0.049	0.229	0.037	0.361
36	0.051	0.232	0.036	0.365
37	0.063	0.236	0.040	0.407
38	0.058	0.211	0.053	0.379
39	0.058	0.198	0.045	0.375
40	0.067	0.192	0.066	0.448
41	0.055	0.199	0.063	0.472
42	0.053	0.201	0.068	0.431
43	0.054	0.163	0.093	0.400
44	0.056	0.213	0.060	0.436
45	0.066	0.218	0.066	0.436
46	0.052	0.195	0.058	0.379
47	0.046	0.185	0.058	0.368
48	0.046	0.110	0.051	0.257
49	0.051	0.133	0.067	0.317
50	0.041	0.097	0.062	0.257
51	0.038	0.081	0.068	0.223
52	0.047	0.166	0.038	0.295
53	0.055	0.234	0.046	0.400
