institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.044	0.186	0.044	0.324
1	0.038	0.091	0.053	0.224
2	0.045	0.149	0.058	0.305
3	0.050	0.199	0.044	0.364
4	0.050	0.216	0.043	0.363
5	0.054	0.230	0.040	0.380
6	0.058	0.223	0.038	0.377
7	0.053	0.156	0.038	0.298
8	0.056	0.203	0.051	0.374
9	0.051	0.157	0.041	0.318
10	0.047	0.149	0.041	0.309
11	0.049	0.169	0.062	0.344
12	0.052	0.172	0.066	0.367
13	0.061	0.178	0.047	0.361
14	0.061	0.277	0.053	0.475
15	0.066	0.332	0.012	0.524
16	0.044	0.464	0.024	0.674
