institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.008	0.177	0.006	0.193
1	0.010	0.125	0.013	0.153
2	0.024	0.119	0.008	0.156
3	0.023	0.189	0.011	0.247
4	0.026	0.182	0.017	0.240
5	0.027	0.142	0.017	0.196
6	0.023	0.130	0.009	0.171
7	0.021	0.140	0.010	0.179
8	0.027	0.218	0.016	0.271
9	0.019	0.173	0.017	0.216
10	0.019	0.161	0.010	0.195
11	0.016	0.144	0.010	0.174
12	0.016	0.142	0.012	0.174
13	0.013	0.117	0.008	0.144
14	0.015	0.137	0.006	0.162
15	0.020	0.141	0.012	0.179
16	0.020	0.198	0.012	0.238
17	0.020	0.170	0.018	0.218
18	0.019	0.131	0.020	0.176
19	0.018	0.144	0.012	0.181
20	0.021	0.183	0.014	0.227
21	0.023	0.223	0.014	0.277
22	0.031	0.229	0.018	0.299
23	0.032	0.189	0.024	0.264
24	0.038	0.264	0.019	0.343
25	0.049	0.290	0.018	0.386
26	0.036	0.268	0.018	0.343
27	0.042	0.235	0.030	0.336
28	0.053	0.260	0.030	0.386
29	0.055	0.255	0.050	0.428
30	0.048	0.162	0.053	0.323
