institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.026	0.198	0.017	0.255
1	0.034	0.201	0.024	0.282
2	0.053	0.264	0.032	0.386
3	0.057	0.244	0.037	0.390
4	0.058	0.189	0.057	0.356
5	0.048	0.183	0.059	0.334
6	0.052	0.203	0.063	0.395
7	0.050	0.127	0.044	0.277
8	0.049	0.116	0.065	0.278
9	0.050	0.097	0.051	0.242
10	0.047	0.120	0.065	0.287
11	0.049	0.109	0.060	0.279
12	0.047	0.128	0.066	0.337
13	0.042	0.115	0.048	0.269
14	0.033	0.075	0.060	0.239
15	0.031	0.049	0.060	0.182
16	0.045	0.091	0.043	0.228
17	0.038	0.086	0.069	0.263
18	0.036	0.109	0.074	0.273
19	0.050	0.186	0.055	0.370
20	0.053	0.269	0.036	0.426
21	0.071	0.358	0.037	0.544
22	0.081	0.348	0.039	0.545
23	0.076	0.110	0.024	0.221
