institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.045	0.192	0.043	0.331
1	0.036	0.062	0.042	0.165
2	0.031	0.038	0.063	0.160
3	0.042	0.100	0.080	0.267
4	0.048	0.161	0.048	0.308
5	0.051	0.178	0.053	0.341
6	0.054	0.253	0.046	0.426
7	0.059	0.304	0.038	0.477
8	0.060	0.314	0.035	0.499
9	0.053	0.288	0.036	0.471
10	0.062	0.223	0.044	0.416
11	0.066	0.171	0.071	0.373
12	0.053	0.281	0.058	0.476
13	0.069	0.316	0.056	0.525
14	0.072	0.267	0.053	0.489
