institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.010	0.135	0.009	0.157
1	0.026	0.161	0.008	0.200
2	0.019	0.179	0.013	0.231
3	0.021	0.218	0.016	0.264
4	0.018	0.186	0.007	0.218
5	0.022	0.149	0.015	0.195
6	0.024	0.146	0.012	0.190
7	0.017	0.168	0.009	0.202
8	0.014	0.133	0.011	0.164
9	0.020	0.162	0.012	0.201
10	0.018	0.137	0.012	0.174
11	0.021	0.184	0.010	0.225
12	0.038	0.240	0.018	0.320
13	0.038	0.229	0.026	0.325
14	0.036	0.223	0.024	0.309
15	0.046	0.207	0.055	0.397
16	0.059	0.245	0.046	0.408
17	0.046	0.146	0.051	0.293
