institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.004	0.146	0.003	0.153
1	0.017	0.235	0.002	0.259
2	0.008	0.151	0.008	0.171
3	0.005	0.144	0.010	0.163
4	0.009	0.130	0.015	0.159
5	0.005	0.118	0.013	0.138
6	0.009	0.118	0.010	0.141
7	0.009	0.124	0.012	0.148
8	0.017	0.154	0.010	0.187
9	0.022	0.207	0.016	0.253
10	0.023	0.190	0.015	0.240
11	0.029	0.226	0.013	0.292
12	0.029	0.183	0.008	0.231
13	0.024	0.194	0.010	0.242
14	0.025	0.195	0.011	0.243
15	0.023	0.177	0.016	0.227
16	0.021	0.179	0.013	0.222
17	0.023	0.168	0.014	0.214
18	0.024	0.143	0.013	0.187
19	0.026	0.164	0.010	0.210
20	0.022	0.152	0.008	0.188
21	0.017	0.136	0.011	0.171
22	0.015	0.163	0.010	0.195
23	0.013	0.126	0.009	0.153
24	0.017	0.163	0.012	0.201
25	0.019	0.179	0.014	0.222
26	0.020	0.174	0.014	0.216
27	0.021	0.181	0.014	0.226
28	0.021	0.152	0.016	0.196
29	0.020	0.152	0.014	0.194
30	0.026	0.228	0.016	0.287
31	0.052	0.312	0.013	0.410
32	0.057	0.273	0.019	0.383
33	0.043	0.301	0.021	0.394
34	0.038	0.207	0.030	0.297
35	0.035	0.236	0.021	0.311
36	0.055	0.301	0.033	0.422
37	0.052	0.234	0.032	0.357
38	0.054	0.251	0.026	0.386
39	0.050	0.212	0.042	0.345
40	0.055	0.254	0.044	0.398
41	0.055	0.223	0.047	0.385
42	0.051	0.183	0.055	0.342
43	0.056	0.220	0.043	0.399
44	0.050	0.218	0.050	0.387
45	0.050	0.184	0.045	0.355
46	0.048	0.152	0.059	0.339
47	0.045	0.126	0.080	0.310
48	0.037	0.054	0.044	0.175
49	0.045	0.157	0.054	0.319
50	0.055	0.237	0.043	0.388
51	0.043	0.131	0.089	0.315
52	0.045	0.136	0.096	0.321
53	0.073	0.269	0.108	0.583
