institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.044	0.200	0.041	0.337
1	0.048	0.149	0.050	0.304
2	0.039	0.122	0.065	0.272
3	0.031	0.079	0.063	0.204
4	0.037	0.113	0.047	0.239
5	0.047	0.182	0.045	0.327
6	0.048	0.184	0.044	0.333
7	0.056	0.214	0.038	0.366
8	0.060	0.201	0.038	0.360
9	0.074	0.328	0.031	0.501
10	0.079	0.300	0.041	0.492
11	0.086	0.384	0.037	0.577
12	0.067	0.267	0.034	0.419
13	0.026	0.160	0.030	0.233
14	0.033	0.205	0.037	0.298
15	0.061	0.383	0.066	0.553
16	0.061	0.383	0.066	0.553
17	0.061	0.383	0.066	0.553
