institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.011	0.129	0.009	0.151
1	0.014	0.129	0.008	0.155
2	0.031	0.196	0.012	0.259
3	0.024	0.148	0.016	0.197
4	0.017	0.137	0.014	0.174
5	0.018	0.150	0.017	0.191
6	0.015	0.160	0.012	0.192
7	0.019	0.164	0.013	0.203
8	0.025	0.182	0.020	0.241
9	0.034	0.229	0.023	0.310
10	0.032	0.203	0.017	0.275
11	0.044	0.213	0.057	0.423
12	0.047	0.204	0.064	0.397
13	0.063	0.283	0.035	0.420
14	0.058	0.211	0.039	0.360
15	0.044	0.146	0.064	0.305
16	0.051	0.183	0.048	0.338
17	0.043	0.037	0.040	0.134
