institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.059	0.123	0.049	0.059	0.035	0.171	0.143	0.095	0.267	1.000
1	0.060	0.137	0.055	0.075	0.030	0.180	0.124	0.098	0.241	1.000
2	0.074	0.132	0.064	0.076	0.029	0.167	0.111	0.091	0.256	1.000
3	0.061	0.102	0.048	0.071	0.025	0.185	0.122	0.092	0.295	1.000
4	0.062	0.112	0.042	0.055	0.026	0.174	0.140	0.106	0.282	1.000
5	0.061	0.122	0.043	0.059	0.032	0.171	0.129	0.094	0.289	1.000
6	0.051	0.115	0.050	0.064	0.020	0.139	0.141	0.099	0.322	1.000
7	0.057	0.131	0.056	0.064	0.022	0.169	0.133	0.098	0.269	1.000
8	0.046	0.141	0.053	0.074	0.024	0.172	0.136	0.089	0.263	1.000
9	0.040	0.110	0.047	0.061	0.024	0.151	0.123	0.094	0.350	1.000
10	0.036	0.093	0.036	0.055	0.023	0.143	0.124	0.103	0.387	1.000
11	0.039	0.100	0.039	0.051	0.018	0.137	0.125	0.098	0.393	1.000
12	0.039	0.100	0.038	0.053	0.016	0.142	0.134	0.100	0.379	1.000
13	0.040	0.100	0.034	0.055	0.019	0.142	0.135	0.100	0.375	1.000
14	0.034	0.087	0.033	0.046	0.018	0.130	0.130	0.100	0.421	1.000
15	0.033	0.075	0.031	0.041	0.017	0.121	0.129	0.109	0.442	1.000
16	0.033	0.082	0.030	0.040	0.017	0.118	0.134	0.107	0.441	1.000
17	0.032	0.081	0.030	0.035	0.020	0.121	0.131	0.109	0.442	1.000
18	0.037	0.095	0.031	0.044	0.019	0.133	0.130	0.105	0.405	1.000
19	0.040	0.082	0.038	0.042	0.017	0.129	0.129	0.107	0.417	1.000
20	0.047	0.108	0.039	0.050	0.026	0.150	0.132	0.109	0.339	1.000
21	0.031	0.070	0.028	0.034	0.021	0.130	0.134	0.112	0.440	1.000
22	0.035	0.073	0.031	0.037	0.020	0.133	0.135	0.110	0.424	1.000
23	0.043	0.089	0.048	0.058	0.023	0.155	0.143	0.122	0.318	1.000
24	0.044	0.087	0.040	0.056	0.031	0.163	0.137	0.119	0.322	1.000
25	0.037	0.079	0.029	0.051	0.023	0.145	0.141	0.116	0.380	1.000
26	0.035	0.065	0.027	0.048	0.019	0.138	0.137	0.131	0.400	1.000
27	0.043	0.093	0.037	0.052	0.024	0.161	0.147	0.118	0.326	1.000
28	0.038	0.094	0.041	0.058	0.023	0.159	0.140	0.114	0.334	1.000
29	0.046	0.119	0.050	0.072	0.027	0.172	0.139	0.106	0.269	1.000
30	0.062	0.140	0.052	0.071	0.026	0.165	0.130	0.090	0.262	1.000
31	0.079	0.148	0.056	0.078	0.034	0.179	0.120	0.089	0.216	1.000
32	0.092	0.180	0.058	0.075	0.033	0.172	0.107	0.082	0.201	1.000
33	0.079	0.157	0.053	0.070	0.026	0.130	0.097	0.078	0.310	1.000
34	0.086	0.169	0.063	0.079	0.033	0.171	0.116	0.077	0.205	1.000
35	0.074	0.158	0.062	0.085	0.033	0.172	0.135	0.084	0.197	1.000
36	0.083	0.229	0.061	0.094	0.032	0.195	0.114	0.068	0.124	1.000
37	0.095	0.223	0.074	0.092	0.034	0.169	0.104	0.064	0.146	1.000
38	0.058	0.118	0.041	0.051	0.023	0.106	0.091	0.088	0.424	1.000
39	0.070	0.133	0.037	0.049	0.018	0.114	0.091	0.072	0.416	1.000
40	0.057	0.113	0.033	0.075	0.015	0.109	0.091	0.081	0.427	1.000
