institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.044	0.103	0.041	0.059	0.024	0.157	0.138	0.108	0.325	1.000
1	0.064	0.126	0.055	0.071	0.030	0.175	0.130	0.098	0.251	1.000
2	0.084	0.178	0.065	0.087	0.032	0.176	0.115	0.074	0.189	1.000
3	0.088	0.203	0.071	0.092	0.035	0.180	0.105	0.065	0.161	1.000
4	0.083	0.194	0.067	0.085	0.031	0.159	0.106	0.074	0.200	1.000
5	0.090	0.189	0.062	0.086	0.033	0.175	0.107	0.074	0.184	1.000
6	0.097	0.223	0.062	0.080	0.030	0.157	0.098	0.064	0.189	1.000
7	0.098	0.204	0.067	0.078	0.029	0.149	0.105	0.066	0.205	1.000
8	0.101	0.216	0.062	0.081	0.029	0.160	0.100	0.068	0.183	1.000
9	0.111	0.218	0.057	0.075	0.031	0.159	0.095	0.070	0.183	1.000
10	0.095	0.200	0.057	0.074	0.032	0.153	0.090	0.069	0.229	1.000
11	0.086	0.161	0.045	0.059	0.026	0.128	0.091	0.080	0.326	1.000
12	0.100	0.210	0.058	0.073	0.029	0.128	0.083	0.060	0.258	1.000
13	0.092	0.180	0.055	0.067	0.024	0.119	0.081	0.066	0.316	1.000
14	0.068	0.108	0.032	0.044	0.020	0.109	0.083	0.088	0.448	1.000
15	0.058	0.084	0.023	0.033	0.013	0.072	0.082	0.077	0.558	1.000
16	0.091	0.093	0.024	0.038	0.020	0.084	0.101	0.091	0.459	1.000
17	0.186	0.328	0.086	0.020	0.041	0.061	0.040	0.059	0.179	1.000
18	0.064	0.143	0.070	0.036	0.030	0.190	0.133	0.104	0.230	1.000
