institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.055	0.125	0.047	0.066	0.027	0.161	0.131	0.099	0.289	1.000
1	0.071	0.150	0.054	0.067	0.028	0.157	0.113	0.088	0.272	1.000
2	0.091	0.183	0.054	0.067	0.026	0.139	0.089	0.069	0.282	1.000
3	0.097	0.173	0.058	0.065	0.022	0.136	0.093	0.067	0.288	1.000
4	0.090	0.081	0.020	0.038	0.019	0.109	0.093	0.088	0.462	1.000
5	0.058	0.082	0.022	0.036	0.021	0.078	0.101	0.074	0.527	1.000
6	0.059	0.063	0.014	0.034	0.023	0.082	0.101	0.097	0.527	1.000
7	0.075	0.087	0.016	0.045	0.015	0.062	0.110	0.090	0.499	1.000
8	0.084	0.088	0.030	0.042	0.019	0.069	0.120	0.108	0.441	1.000
9	0.104	0.080	0.027	0.044	0.015	0.071	0.079	0.119	0.462	1.000
