institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.058	0.129	0.050	0.063	0.033	0.171	0.137	0.097	0.263	1.000
1	0.076	0.127	0.055	0.075	0.032	0.171	0.123	0.091	0.249	1.000
2	0.061	0.117	0.064	0.064	0.028	0.181	0.130	0.101	0.254	1.000
3	0.061	0.143	0.062	0.060	0.025	0.161	0.132	0.090	0.266	1.000
4	0.052	0.144	0.056	0.071	0.025	0.161	0.140	0.098	0.252	1.000
5	0.045	0.092	0.040	0.061	0.017	0.145	0.139	0.101	0.360	1.000
6	0.051	0.113	0.047	0.068	0.022	0.169	0.134	0.102	0.294	1.000
7	0.039	0.124	0.045	0.065	0.022	0.162	0.137	0.093	0.314	1.000
8	0.036	0.101	0.040	0.054	0.021	0.139	0.127	0.099	0.383	1.000
9	0.035	0.085	0.031	0.048	0.020	0.132	0.123	0.108	0.418	1.000
10	0.040	0.092	0.033	0.041	0.018	0.132	0.123	0.101	0.420	1.000
11	0.043	0.095	0.036	0.049	0.023	0.147	0.140	0.107	0.361	1.000
12	0.046	0.104	0.035	0.050	0.023	0.143	0.133	0.103	0.364	1.000
13	0.041	0.090	0.033	0.046	0.024	0.135	0.140	0.109	0.381	1.000
14	0.037	0.070	0.027	0.043	0.019	0.134	0.139	0.119	0.412	1.000
15	0.040	0.082	0.032	0.048	0.020	0.138	0.133	0.118	0.390	1.000
16	0.046	0.103	0.046	0.060	0.026	0.167	0.145	0.115	0.292	1.000
17	0.039	0.095	0.045	0.060	0.025	0.167	0.142	0.115	0.311	1.000
18	0.049	0.115	0.043	0.070	0.024	0.168	0.142	0.104	0.285	1.000
19	0.066	0.141	0.053	0.073	0.030	0.167	0.124	0.093	0.255	1.000
20	0.082	0.162	0.053	0.072	0.031	0.166	0.109	0.087	0.238	1.000
21	0.074	0.146	0.050	0.066	0.026	0.140	0.101	0.087	0.310	1.000
22	0.077	0.151	0.059	0.075	0.032	0.163	0.122	0.082	0.238	1.000
23	0.072	0.175	0.058	0.085	0.033	0.177	0.132	0.083	0.184	1.000
24	0.097	0.227	0.073	0.094	0.035	0.171	0.103	0.063	0.137	1.000
25	0.055	0.112	0.038	0.049	0.021	0.109	0.097	0.086	0.432	1.000
26	0.069	0.131	0.038	0.057	0.017	0.116	0.091	0.077	0.402	1.000
