institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.046	0.106	0.042	0.060	0.025	0.158	0.138	0.107	0.318	1.000
1	0.073	0.147	0.061	0.077	0.032	0.175	0.122	0.090	0.221	1.000
2	0.093	0.211	0.069	0.090	0.035	0.184	0.106	0.066	0.145	1.000
3	0.092	0.199	0.059	0.078	0.029	0.151	0.095	0.067	0.230	1.000
4	0.093	0.195	0.054	0.076	0.026	0.139	0.097	0.069	0.250	1.000
5	0.087	0.157	0.052	0.064	0.024	0.127	0.087	0.072	0.330	1.000
6	0.076	0.145	0.044	0.053	0.024	0.111	0.084	0.074	0.390	1.000
7	0.067	0.115	0.030	0.045	0.017	0.096	0.089	0.082	0.458	1.000
8	0.068	0.104	0.035	0.030	0.015	0.066	0.070	0.080	0.532	1.000
9	0.066	0.051	0.016	0.020	0.003	0.045	0.074	0.089	0.634	1.000
