institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.058	0.115	0.049	0.060	0.033	0.175	0.138	0.094	0.279	1.000
1	0.048	0.117	0.046	0.071	0.024	0.159	0.128	0.097	0.310	1.000
2	0.041	0.100	0.036	0.049	0.019	0.139	0.126	0.101	0.389	1.000
3	0.043	0.103	0.046	0.049	0.022	0.136	0.131	0.102	0.367	1.000
4	0.049	0.117	0.049	0.047	0.022	0.145	0.129	0.094	0.347	1.000
5	0.031	0.066	0.025	0.043	0.019	0.133	0.130	0.122	0.430	1.000
6	0.035	0.081	0.035	0.046	0.021	0.141	0.137	0.119	0.384	1.000
7	0.035	0.070	0.044	0.051	0.031	0.159	0.138	0.125	0.347	1.000
8	0.037	0.084	0.032	0.051	0.021	0.143	0.140	0.117	0.376	1.000
9	0.040	0.092	0.038	0.052	0.023	0.148	0.144	0.118	0.345	1.000
10	0.042	0.091	0.036	0.059	0.024	0.153	0.132	0.110	0.353	1.000
11	0.047	0.102	0.038	0.058	0.023	0.151	0.131	0.110	0.341	1.000
12	0.076	0.159	0.058	0.076	0.030	0.171	0.123	0.086	0.219	1.000
13	0.081	0.185	0.059	0.077	0.030	0.156	0.107	0.075	0.232	1.000
14	0.053	0.109	0.029	0.065	0.016	0.100	0.090	0.073	0.464	1.000
