institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.047	0.107	0.043	0.061	0.025	0.158	0.135	0.106	0.318	1.000
1	0.085	0.185	0.066	0.087	0.033	0.180	0.114	0.072	0.179	1.000
2	0.085	0.201	0.068	0.083	0.034	0.166	0.104	0.072	0.187	1.000
3	0.093	0.204	0.063	0.088	0.034	0.174	0.112	0.075	0.156	1.000
4	0.099	0.201	0.068	0.084	0.029	0.168	0.114	0.076	0.162	1.000
5	0.103	0.217	0.066	0.075	0.031	0.148	0.094	0.065	0.201	1.000
6	0.093	0.227	0.065	0.085	0.031	0.149	0.092	0.066	0.191	1.000
7	0.092	0.179	0.050	0.065	0.025	0.134	0.086	0.071	0.299	1.000
8	0.094	0.148	0.037	0.050	0.024	0.102	0.088	0.078	0.378	1.000
9	0.060	0.065	0.023	0.029	0.015	0.081	0.082	0.081	0.564	1.000
10	0.064	0.143	0.070	0.036	0.030	0.190	0.133	0.104	0.230	1.000
