institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.070	0.151	0.080	0.096	0.028	0.161	0.161	0.054	0.198	1.000
1	0.054	0.185	0.063	0.055	0.033	0.148	0.128	0.080	0.254	1.000
2	0.040	0.117	0.055	0.044	0.021	0.144	0.145	0.108	0.326	1.000
3	0.058	0.153	0.037	0.043	0.024	0.191	0.152	0.087	0.255	1.000
4	0.059	0.126	0.046	0.060	0.021	0.216	0.137	0.096	0.238	1.000
5	0.063	0.114	0.046	0.062	0.026	0.189	0.137	0.107	0.257	1.000
6	0.066	0.186	0.062	0.092	0.054	0.164	0.111	0.098	0.167	1.000
7	0.054	0.132	0.043	0.052	0.026	0.183	0.139	0.120	0.250	1.000
8	0.071	0.148	0.047	0.074	0.068	0.163	0.115	0.118	0.195	1.000
9	0.058	0.107	0.046	0.075	0.029	0.190	0.135	0.133	0.228	1.000
10	0.048	0.148	0.061	0.059	0.048	0.160	0.127	0.108	0.240	1.000
11	0.052	0.120	0.047	0.056	0.064	0.165	0.146	0.120	0.231	1.000
12	0.050	0.133	0.044	0.066	0.063	0.138	0.123	0.122	0.260	1.000
13	0.088	0.139	0.057	0.050	0.025	0.160	0.142	0.104	0.234	1.000
14	0.055	0.116	0.049	0.059	0.041	0.158	0.143	0.113	0.266	1.000
15	0.063	0.135	0.048	0.072	0.041	0.171	0.118	0.113	0.240	1.000
16	0.068	0.127	0.052	0.073	0.046	0.179	0.121	0.096	0.239	1.000
17	0.067	0.113	0.044	0.065	0.032	0.174	0.145	0.097	0.264	1.000
18	0.064	0.129	0.052	0.055	0.028	0.174	0.140	0.101	0.256	1.000
19	0.058	0.122	0.055	0.052	0.034	0.180	0.137	0.099	0.263	1.000
20	0.078	0.105	0.054	0.065	0.032	0.178	0.114	0.099	0.275	1.000
21	0.066	0.181	0.067	0.072	0.026	0.171	0.112	0.101	0.205	1.000
22	0.065	0.121	0.047	0.063	0.032	0.191	0.124	0.105	0.253	1.000
23	0.061	0.126	0.051	0.065	0.029	0.187	0.125	0.099	0.256	1.000
24	0.080	0.109	0.059	0.071	0.027	0.176	0.121	0.108	0.249	1.000
25	0.066	0.121	0.044	0.065	0.027	0.184	0.134	0.096	0.263	1.000
26	0.098	0.145	0.044	0.067	0.025	0.178	0.121	0.079	0.241	1.000
27	0.074	0.148	0.048	0.067	0.032	0.170	0.127	0.084	0.250	1.000
