institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.043	0.096	0.040	0.057	0.024	0.152	0.138	0.110	0.340	1.000
1	0.062	0.137	0.053	0.071	0.027	0.176	0.132	0.096	0.246	1.000
2	0.068	0.148	0.058	0.077	0.032	0.181	0.133	0.090	0.212	1.000
3	0.085	0.174	0.070	0.092	0.035	0.187	0.118	0.089	0.150	1.000
4	0.084	0.203	0.074	0.096	0.033	0.185	0.115	0.072	0.139	1.000
5	0.079	0.180	0.063	0.088	0.031	0.180	0.116	0.074	0.190	1.000
6	0.084	0.192	0.063	0.090	0.033	0.184	0.110	0.067	0.177	1.000
7	0.091	0.208	0.066	0.085	0.038	0.174	0.100	0.066	0.173	1.000
8	0.093	0.209	0.067	0.083	0.032	0.163	0.101	0.063	0.189	1.000
9	0.092	0.205	0.064	0.081	0.031	0.162	0.094	0.062	0.208	1.000
10	0.091	0.196	0.063	0.075	0.030	0.159	0.101	0.065	0.220	1.000
11	0.085	0.203	0.067	0.078	0.029	0.155	0.096	0.070	0.216	1.000
12	0.091	0.191	0.062	0.070	0.029	0.146	0.098	0.067	0.246	1.000
13	0.103	0.180	0.050	0.068	0.027	0.136	0.092	0.071	0.273	1.000
14	0.093	0.176	0.055	0.061	0.027	0.124	0.087	0.067	0.310	1.000
15	0.104	0.190	0.049	0.070	0.026	0.138	0.085	0.072	0.267	1.000
16	0.087	0.163	0.050	0.066	0.024	0.128	0.083	0.083	0.316	1.000
17	0.082	0.151	0.042	0.062	0.026	0.122	0.083	0.082	0.350	1.000
18	0.090	0.156	0.055	0.062	0.027	0.113	0.087	0.067	0.343	1.000
19	0.089	0.157	0.043	0.058	0.025	0.113	0.088	0.068	0.358	1.000
20	0.066	0.096	0.031	0.041	0.018	0.094	0.078	0.078	0.500	1.000
21	0.073	0.130	0.031	0.047	0.019	0.095	0.085	0.072	0.449	1.000
22	0.071	0.107	0.035	0.043	0.024	0.097	0.091	0.093	0.440	1.000
23	0.059	0.109	0.033	0.045	0.023	0.120	0.091	0.078	0.442	1.000
24	0.053	0.064	0.020	0.039	0.016	0.075	0.106	0.095	0.530	1.000
25	0.086	0.057	0.025	0.024	0.003	0.055	0.076	0.099	0.574	1.000
26	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
27	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
28	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
29	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
31	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
