institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.050	0.110	0.043	0.061	0.025	0.155	0.133	0.104	0.318	1.000
1	0.069	0.152	0.055	0.072	0.028	0.171	0.121	0.088	0.244	1.000
2	0.082	0.189	0.063	0.082	0.033	0.168	0.107	0.074	0.203	1.000
3	0.080	0.174	0.056	0.079	0.029	0.151	0.098	0.077	0.256	1.000
4	0.096	0.194	0.060	0.069	0.028	0.147	0.102	0.073	0.231	1.000
5	0.103	0.159	0.050	0.068	0.028	0.137	0.095	0.075	0.286	1.000
6	0.093	0.167	0.049	0.057	0.028	0.120	0.091	0.072	0.323	1.000
7	0.090	0.160	0.058	0.054	0.015	0.096	0.099	0.073	0.354	1.000
8	0.099	0.081	0.018	0.057	0.012	0.052	0.077	0.124	0.479	1.000
9	0.073	0.099	0.015	0.041	0.010	0.037	0.085	0.107	0.534	1.000
10	0.110	0.073	0.016	0.064	0.013	0.057	0.070	0.135	0.462	1.000
