institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.072	0.162	0.065	0.071	0.027	0.169	0.131	0.087	0.218	1.000
1	0.056	0.135	0.050	0.067	0.036	0.172	0.131	0.106	0.246	1.000
2	0.054	0.103	0.040	0.060	0.034	0.167	0.152	0.094	0.297	1.000
3	0.049	0.100	0.033	0.058	0.030	0.165	0.139	0.085	0.341	1.000
4	0.055	0.108	0.047	0.081	0.043	0.206	0.137	0.090	0.235	1.000
5	0.093	0.127	0.080	0.067	0.029	0.177	0.112	0.096	0.219	1.000
6	0.083	0.151	0.056	0.068	0.036	0.166	0.117	0.078	0.244	1.000
7	0.073	0.112	0.058	0.068	0.030	0.177	0.136	0.101	0.246	1.000
8	0.076	0.131	0.052	0.072	0.036	0.195	0.129	0.085	0.223	1.000
9	0.046	0.079	0.034	0.065	0.020	0.132	0.156	0.090	0.377	1.000
10	0.058	0.111	0.048	0.077	0.021	0.167	0.138	0.105	0.275	1.000
11	0.052	0.109	0.048	0.069	0.019	0.152	0.136	0.108	0.306	1.000
12	0.053	0.141	0.055	0.071	0.026	0.156	0.135	0.097	0.267	1.000
13	0.058	0.142	0.068	0.053	0.019	0.153	0.128	0.097	0.280	1.000
14	0.048	0.140	0.066	0.066	0.024	0.173	0.144	0.100	0.239	1.000
15	0.051	0.143	0.063	0.062	0.023	0.170	0.136	0.098	0.254	1.000
16	0.048	0.125	0.053	0.062	0.023	0.164	0.135	0.103	0.288	1.000
17	0.062	0.121	0.050	0.064	0.027	0.182	0.139	0.097	0.258	1.000
18	0.048	0.129	0.049	0.074	0.025	0.176	0.138	0.090	0.271	1.000
19	0.047	0.122	0.056	0.072	0.024	0.171	0.135	0.093	0.280	1.000
20	0.058	0.136	0.059	0.069	0.021	0.169	0.140	0.086	0.262	1.000
21	0.047	0.115	0.046	0.063	0.018	0.160	0.135	0.094	0.322	1.000
22	0.046	0.116	0.043	0.057	0.018	0.163	0.136	0.096	0.327	1.000
23	0.044	0.116	0.049	0.063	0.024	0.165	0.135	0.093	0.310	1.000
24	0.041	0.121	0.050	0.070	0.023	0.154	0.139	0.095	0.308	1.000
25	0.033	0.102	0.045	0.053	0.022	0.144	0.130	0.097	0.374	1.000
26	0.038	0.109	0.040	0.057	0.024	0.146	0.129	0.092	0.366	1.000
27	0.037	0.109	0.031	0.051	0.018	0.150	0.135	0.107	0.361	1.000
28	0.041	0.114	0.034	0.051	0.020	0.141	0.133	0.100	0.366	1.000
29	0.041	0.120	0.036	0.065	0.020	0.146	0.129	0.099	0.345	1.000
30	0.037	0.102	0.033	0.059	0.017	0.141	0.126	0.104	0.380	1.000
31	0.037	0.092	0.032	0.055	0.021	0.146	0.129	0.106	0.381	1.000
