institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.050	0.112	0.044	0.062	0.025	0.158	0.134	0.104	0.310	1.000
1	0.078	0.176	0.060	0.076	0.031	0.171	0.109	0.078	0.221	1.000
2	0.081	0.174	0.054	0.072	0.029	0.149	0.100	0.076	0.267	1.000
3	0.101	0.194	0.060	0.079	0.026	0.137	0.098	0.068	0.237	1.000
4	0.096	0.171	0.056	0.070	0.024	0.135	0.092	0.077	0.279	1.000
5	0.111	0.218	0.073	0.077	0.034	0.152	0.079	0.057	0.198	1.000
6	0.098	0.194	0.054	0.076	0.033	0.164	0.091	0.067	0.223	1.000
7	0.088	0.178	0.046	0.069	0.039	0.124	0.114	0.072	0.271	1.000
8	0.057	0.156	0.030	0.058	0.035	0.120	0.083	0.078	0.383	1.000
9	0.059	0.059	0.036	0.074	0.009	0.070	0.108	0.062	0.524	1.000
10	0.014	0.051	0.001	0.000	0.005	0.066	0.015	0.076	0.772	1.000
