institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.044	0.098	0.039	0.057	0.024	0.153	0.137	0.109	0.339	1.000
1	0.043	0.095	0.037	0.053	0.022	0.148	0.141	0.112	0.349	1.000
2	0.053	0.125	0.056	0.068	0.032	0.187	0.139	0.100	0.239	1.000
3	0.067	0.160	0.069	0.097	0.034	0.207	0.132	0.093	0.141	1.000
4	0.078	0.177	0.075	0.098	0.037	0.193	0.126	0.085	0.129	1.000
5	0.088	0.175	0.068	0.099	0.034	0.189	0.120	0.083	0.145	1.000
6	0.098	0.200	0.075	0.096	0.035	0.177	0.108	0.076	0.135	1.000
7	0.090	0.199	0.066	0.089	0.033	0.187	0.106	0.066	0.164	1.000
8	0.092	0.187	0.071	0.085	0.035	0.194	0.114	0.072	0.149	1.000
9	0.090	0.195	0.063	0.087	0.033	0.182	0.109	0.073	0.169	1.000
10	0.088	0.193	0.054	0.081	0.031	0.160	0.094	0.065	0.232	1.000
11	0.083	0.182	0.062	0.079	0.031	0.163	0.108	0.070	0.223	1.000
12	0.093	0.214	0.062	0.081	0.032	0.165	0.098	0.062	0.194	1.000
13	0.088	0.191	0.064	0.078	0.025	0.148	0.097	0.069	0.240	1.000
14	0.091	0.183	0.059	0.071	0.026	0.140	0.091	0.066	0.274	1.000
15	0.089	0.186	0.052	0.074	0.024	0.132	0.087	0.070	0.285	1.000
16	0.087	0.180	0.049	0.070	0.028	0.121	0.084	0.066	0.315	1.000
17	0.096	0.195	0.057	0.069	0.030	0.122	0.079	0.066	0.286	1.000
18	0.098	0.193	0.052	0.062	0.032	0.131	0.076	0.070	0.285	1.000
19	0.088	0.156	0.052	0.067	0.026	0.132	0.097	0.078	0.305	1.000
20	0.096	0.195	0.057	0.062	0.029	0.131	0.089	0.069	0.272	1.000
21	0.087	0.166	0.063	0.069	0.024	0.143	0.098	0.065	0.286	1.000
22	0.083	0.173	0.058	0.061	0.024	0.127	0.091	0.072	0.312	1.000
23	0.061	0.135	0.034	0.049	0.022	0.107	0.091	0.073	0.429	1.000
24	0.050	0.077	0.018	0.045	0.011	0.066	0.103	0.082	0.548	1.000
25	0.052	0.122	0.019	0.057	0.013	0.055	0.125	0.095	0.463	1.000
26	0.073	0.061	0.022	0.027	0.010	0.062	0.086	0.096	0.564	1.000
27	0.099	0.068	0.022	0.022	0.005	0.048	0.078	0.102	0.557	1.000
28	0.087	0.059	0.021	0.019	0.008	0.056	0.072	0.099	0.577	1.000
29	0.077	0.055	0.018	0.022	0.003	0.047	0.076	0.094	0.607	1.000
30	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
31	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
32	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
35	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
