institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.066	0.156	0.071	0.078	0.029	0.167	0.152	0.065	0.217	1.000
1	0.045	0.106	0.049	0.046	0.023	0.141	0.143	0.123	0.323	1.000
2	0.084	0.150	0.053	0.053	0.025	0.179	0.136	0.093	0.227	1.000
3	0.061	0.154	0.051	0.074	0.043	0.180	0.124	0.112	0.201	1.000
4	0.057	0.131	0.065	0.055	0.045	0.168	0.143	0.096	0.240	1.000
5	0.061	0.140	0.053	0.067	0.054	0.165	0.129	0.104	0.227	1.000
6	0.075	0.147	0.051	0.078	0.053	0.167	0.116	0.096	0.216	1.000
7	0.052	0.123	0.032	0.084	0.030	0.160	0.124	0.113	0.282	1.000
8	0.049	0.093	0.030	0.072	0.019	0.132	0.151	0.085	0.369	1.000
9	0.058	0.121	0.053	0.086	0.023	0.170	0.143	0.102	0.244	1.000
10	0.053	0.109	0.046	0.068	0.021	0.154	0.129	0.101	0.320	1.000
11	0.047	0.109	0.044	0.074	0.025	0.174	0.129	0.106	0.292	1.000
12	0.053	0.090	0.043	0.055	0.018	0.154	0.115	0.104	0.365	1.000
13	0.097	0.128	0.041	0.063	0.030	0.181	0.133	0.087	0.242	1.000
14	0.052	0.121	0.048	0.076	0.024	0.162	0.131	0.096	0.289	1.000
15	0.047	0.115	0.044	0.073	0.028	0.168	0.130	0.093	0.301	1.000
16	0.045	0.104	0.044	0.075	0.034	0.187	0.134	0.095	0.282	1.000
17	0.055	0.120	0.047	0.072	0.032	0.170	0.129	0.093	0.281	1.000
18	0.065	0.124	0.055	0.078	0.031	0.184	0.131	0.087	0.245	1.000
19	0.056	0.119	0.046	0.072	0.029	0.177	0.142	0.089	0.269	1.000
20	0.056	0.117	0.037	0.067	0.029	0.185	0.129	0.096	0.284	1.000
21	0.058	0.143	0.081	0.060	0.031	0.165	0.127	0.091	0.242	1.000
22	0.048	0.148	0.068	0.080	0.025	0.193	0.137	0.093	0.206	1.000
23	0.065	0.144	0.049	0.067	0.029	0.176	0.126	0.083	0.261	1.000
24	0.050	0.132	0.057	0.069	0.031	0.172	0.137	0.086	0.265	1.000
25	0.056	0.136	0.053	0.069	0.034	0.175	0.135	0.081	0.262	1.000
26	0.043	0.111	0.053	0.074	0.031	0.178	0.140	0.088	0.282	1.000
27	0.041	0.118	0.052	0.058	0.027	0.162	0.138	0.099	0.305	1.000
28	0.047	0.133	0.054	0.066	0.027	0.162	0.137	0.090	0.285	1.000
29	0.046	0.131	0.053	0.065	0.028	0.170	0.140	0.094	0.272	1.000
30	0.045	0.104	0.046	0.067	0.026	0.155	0.124	0.089	0.346	1.000
31	0.049	0.106	0.043	0.068	0.021	0.157	0.121	0.092	0.343	1.000
32	0.047	0.099	0.039	0.058	0.020	0.152	0.122	0.101	0.361	1.000
33	0.050	0.114	0.047	0.065	0.022	0.167	0.126	0.097	0.311	1.000
34	0.044	0.117	0.040	0.061	0.024	0.165	0.125	0.098	0.325	1.000
35	0.035	0.084	0.034	0.053	0.019	0.143	0.117	0.104	0.410	1.000
36	0.050	0.120	0.044	0.051	0.017	0.152	0.121	0.096	0.349	1.000
37	0.049	0.113	0.041	0.047	0.017	0.147	0.120	0.095	0.372	1.000
38	0.055	0.113	0.048	0.047	0.019	0.139	0.123	0.095	0.362	1.000
39	0.051	0.113	0.051	0.051	0.022	0.139	0.115	0.098	0.360	1.000
40	0.042	0.093	0.035	0.051	0.017	0.129	0.121	0.101	0.410	1.000
41	0.032	0.068	0.029	0.041	0.019	0.123	0.119	0.112	0.455	1.000
42	0.035	0.069	0.043	0.050	0.031	0.154	0.134	0.116	0.368	1.000
43	0.032	0.061	0.031	0.046	0.022	0.134	0.139	0.124	0.411	1.000
44	0.032	0.063	0.028	0.048	0.021	0.141	0.142	0.125	0.401	1.000
45	0.039	0.089	0.034	0.056	0.025	0.155	0.144	0.115	0.344	1.000
46	0.047	0.123	0.041	0.074	0.022	0.168	0.138	0.106	0.281	1.000
47	0.044	0.100	0.042	0.055	0.023	0.150	0.135	0.105	0.345	1.000
48	0.067	0.142	0.062	0.074	0.032	0.170	0.127	0.090	0.237	1.000
49	0.080	0.171	0.056	0.073	0.028	0.153	0.104	0.076	0.259	1.000
50	0.061	0.158	0.060	0.075	0.030	0.178	0.135	0.091	0.211	1.000
51	0.073	0.144	0.050	0.067	0.031	0.168	0.136	0.096	0.234	1.000
52	0.085	0.153	0.052	0.076	0.032	0.170	0.134	0.102	0.196	1.000
53	0.116	0.239	0.068	0.098	0.032	0.175	0.089	0.059	0.124	1.000
