institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.046	0.103	0.042	0.060	0.025	0.156	0.136	0.108	0.324	1.000
1	0.079	0.167	0.061	0.083	0.031	0.184	0.123	0.082	0.189	1.000
2	0.084	0.176	0.062	0.080	0.031	0.171	0.110	0.073	0.211	1.000
3	0.083	0.207	0.069	0.086	0.035	0.175	0.107	0.070	0.169	1.000
4	0.091	0.209	0.065	0.082	0.032	0.157	0.099	0.061	0.204	1.000
5	0.094	0.203	0.064	0.077	0.030	0.153	0.094	0.065	0.222	1.000
6	0.092	0.189	0.056	0.080	0.027	0.150	0.091	0.071	0.244	1.000
7	0.097	0.188	0.052	0.065	0.033	0.134	0.088	0.063	0.280	1.000
8	0.096	0.197	0.052	0.070	0.025	0.138	0.080	0.066	0.277	1.000
9	0.090	0.133	0.036	0.048	0.022	0.119	0.091	0.085	0.377	1.000
10	0.078	0.109	0.028	0.042	0.019	0.095	0.089	0.086	0.454	1.000
11	0.064	0.073	0.020	0.033	0.019	0.070	0.084	0.087	0.550	1.000
12	0.068	0.058	0.015	0.034	0.018	0.071	0.094	0.096	0.547	1.000
13	0.062	0.061	0.015	0.026	0.013	0.053	0.086	0.099	0.586	1.000
14	0.108	0.070	0.022	0.023	0.003	0.048	0.081	0.105	0.540	1.000
