institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.051	0.114	0.045	0.062	0.026	0.157	0.132	0.103	0.310	1.000
1	0.074	0.167	0.055	0.078	0.029	0.174	0.116	0.079	0.228	1.000
2	0.087	0.182	0.059	0.074	0.030	0.151	0.102	0.077	0.239	1.000
3	0.087	0.199	0.065	0.078	0.032	0.160	0.099	0.066	0.213	1.000
4	0.103	0.162	0.052	0.064	0.025	0.143	0.097	0.082	0.272	1.000
5	0.074	0.088	0.017	0.031	0.016	0.069	0.082	0.072	0.551	1.000
6	0.082	0.123	0.028	0.043	0.024	0.078	0.107	0.085	0.430	1.000
7	0.101	0.096	0.033	0.055	0.015	0.075	0.111	0.096	0.418	1.000
8	0.098	0.111	0.044	0.073	0.014	0.083	0.145	0.080	0.353	1.000
9	0.105	0.090	0.027	0.060	0.011	0.062	0.100	0.108	0.437	1.000
