institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.060	0.151	0.059	0.073	0.027	0.167	0.127	0.101	0.235	1.000
1	0.057	0.112	0.044	0.069	0.034	0.168	0.139	0.096	0.280	1.000
2	0.067	0.130	0.054	0.069	0.031	0.175	0.131	0.085	0.258	1.000
3	0.062	0.111	0.053	0.061	0.021	0.178	0.134	0.105	0.275	1.000
4	0.052	0.128	0.051	0.068	0.025	0.158	0.140	0.103	0.276	1.000
5	0.048	0.124	0.062	0.064	0.021	0.158	0.137	0.106	0.281	1.000
6	0.054	0.135	0.054	0.060	0.022	0.172	0.130	0.099	0.272	1.000
7	0.058	0.138	0.057	0.065	0.027	0.181	0.142	0.093	0.238	1.000
8	0.050	0.139	0.058	0.065	0.025	0.156	0.137	0.092	0.277	1.000
9	0.055	0.114	0.059	0.051	0.021	0.158	0.137	0.093	0.314	1.000
10	0.045	0.116	0.046	0.060	0.020	0.159	0.138	0.097	0.318	1.000
11	0.042	0.113	0.045	0.052	0.022	0.159	0.136	0.095	0.337	1.000
12	0.045	0.123	0.046	0.059	0.020	0.156	0.132	0.090	0.329	1.000
13	0.041	0.112	0.041	0.061	0.026	0.156	0.132	0.100	0.332	1.000
14	0.032	0.080	0.031	0.049	0.017	0.126	0.120	0.104	0.441	1.000
15	0.035	0.091	0.028	0.046	0.017	0.130	0.127	0.103	0.423	1.000
16	0.035	0.088	0.030	0.049	0.018	0.133	0.129	0.103	0.415	1.000
17	0.035	0.091	0.025	0.044	0.021	0.139	0.123	0.105	0.418	1.000
18	0.037	0.083	0.033	0.044	0.018	0.133	0.124	0.111	0.417	1.000
19	0.032	0.096	0.024	0.040	0.020	0.133	0.129	0.108	0.418	1.000
20	0.032	0.081	0.026	0.037	0.022	0.129	0.135	0.116	0.422	1.000
21	0.034	0.073	0.029	0.039	0.020	0.127	0.135	0.111	0.431	1.000
22	0.044	0.087	0.038	0.042	0.019	0.132	0.139	0.107	0.390	1.000
23	0.038	0.077	0.036	0.051	0.018	0.135	0.132	0.110	0.403	1.000
24	0.045	0.095	0.038	0.056	0.020	0.143	0.138	0.110	0.356	1.000
25	0.034	0.078	0.036	0.043	0.019	0.123	0.138	0.115	0.413	1.000
26	0.034	0.087	0.033	0.042	0.020	0.132	0.146	0.109	0.397	1.000
27	0.031	0.077	0.030	0.039	0.016	0.112	0.138	0.114	0.442	1.000
28	0.042	0.104	0.037	0.048	0.023	0.142	0.143	0.112	0.349	1.000
29	0.037	0.092	0.030	0.044	0.024	0.140	0.146	0.108	0.379	1.000
30	0.036	0.087	0.028	0.048	0.021	0.151	0.154	0.107	0.367	1.000
31	0.049	0.115	0.043	0.062	0.023	0.155	0.147	0.101	0.305	1.000
32	0.041	0.095	0.032	0.054	0.022	0.148	0.149	0.110	0.350	1.000
33	0.042	0.098	0.031	0.054	0.020	0.150	0.142	0.109	0.354	1.000
34	0.037	0.090	0.031	0.053	0.020	0.146	0.145	0.118	0.360	1.000
35	0.037	0.087	0.030	0.052	0.021	0.146	0.139	0.122	0.367	1.000
36	0.037	0.067	0.025	0.049	0.022	0.160	0.146	0.130	0.365	1.000
37	0.032	0.066	0.029	0.046	0.021	0.133	0.120	0.128	0.426	1.000
38	0.034	0.066	0.027	0.051	0.020	0.132	0.135	0.129	0.407	1.000
39	0.046	0.079	0.033	0.061	0.021	0.139	0.121	0.118	0.382	1.000
40	0.041	0.060	0.024	0.052	0.021	0.129	0.135	0.127	0.412	1.000
41	0.036	0.061	0.026	0.046	0.019	0.133	0.123	0.120	0.437	1.000
42	0.036	0.063	0.025	0.045	0.018	0.138	0.135	0.123	0.417	1.000
43	0.033	0.063	0.031	0.052	0.026	0.164	0.144	0.136	0.350	1.000
44	0.031	0.060	0.030	0.044	0.020	0.126	0.145	0.127	0.415	1.000
45	0.032	0.056	0.037	0.046	0.018	0.142	0.144	0.119	0.406	1.000
46	0.035	0.083	0.037	0.056	0.026	0.159	0.146	0.121	0.337	1.000
47	0.041	0.088	0.038	0.054	0.026	0.159	0.148	0.108	0.337	1.000
48	0.056	0.151	0.058	0.076	0.033	0.186	0.134	0.092	0.215	1.000
49	0.051	0.127	0.049	0.072	0.025	0.175	0.139	0.100	0.262	1.000
50	0.063	0.151	0.062	0.081	0.030	0.193	0.129	0.091	0.201	1.000
51	0.082	0.179	0.066	0.085	0.033	0.186	0.127	0.086	0.158	1.000
52	0.096	0.205	0.066	0.085	0.033	0.154	0.093	0.063	0.204	1.000
53	0.086	0.168	0.052	0.069	0.026	0.144	0.097	0.074	0.285	1.000
