institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.055	0.138	0.066	0.069	0.026	0.150	0.150	0.083	0.262	1.000
1	0.079	0.141	0.051	0.052	0.020	0.188	0.141	0.091	0.237	1.000
2	0.062	0.151	0.052	0.076	0.050	0.173	0.126	0.115	0.196	1.000
3	0.063	0.123	0.043	0.081	0.051	0.157	0.112	0.107	0.262	1.000
4	0.071	0.145	0.060	0.061	0.033	0.173	0.130	0.102	0.225	1.000
5	0.047	0.126	0.051	0.053	0.036	0.178	0.135	0.105	0.271	1.000
6	0.077	0.111	0.053	0.062	0.026	0.181	0.130	0.098	0.262	1.000
7	0.091	0.151	0.053	0.061	0.030	0.170	0.113	0.083	0.248	1.000
8	0.065	0.147	0.051	0.070	0.032	0.157	0.126	0.085	0.267	1.000
9	0.068	0.125	0.054	0.072	0.038	0.165	0.137	0.086	0.255	1.000
10	0.072	0.123	0.048	0.075	0.033	0.161	0.131	0.094	0.263	1.000
11	0.064	0.090	0.028	0.070	0.025	0.129	0.145	0.079	0.368	1.000
12	0.067	0.106	0.047	0.076	0.026	0.157	0.141	0.092	0.288	1.000
13	0.060	0.116	0.040	0.071	0.031	0.164	0.141	0.088	0.288	1.000
14	0.055	0.122	0.050	0.080	0.026	0.165	0.145	0.095	0.261	1.000
15	0.052	0.129	0.045	0.079	0.026	0.177	0.136	0.097	0.260	1.000
16	0.048	0.118	0.042	0.065	0.025	0.168	0.136	0.095	0.302	1.000
17	0.051	0.117	0.041	0.067	0.028	0.174	0.138	0.088	0.295	1.000
18	0.083	0.107	0.033	0.062	0.032	0.190	0.154	0.091	0.248	1.000
19	0.046	0.091	0.032	0.051	0.020	0.145	0.124	0.099	0.392	1.000
20	0.047	0.107	0.043	0.062	0.025	0.170	0.136	0.098	0.311	1.000
21	0.048	0.118	0.045	0.065	0.025	0.166	0.134	0.092	0.307	1.000
22	0.049	0.120	0.051	0.066	0.026	0.163	0.140	0.088	0.296	1.000
23	0.049	0.124	0.050	0.070	0.028	0.175	0.138	0.097	0.270	1.000
24	0.050	0.129	0.053	0.072	0.028	0.186	0.136	0.095	0.251	1.000
25	0.055	0.171	0.084	0.087	0.027	0.188	0.136	0.085	0.167	1.000
26	0.049	0.104	0.048	0.077	0.024	0.186	0.129	0.095	0.290	1.000
27	0.067	0.146	0.093	0.070	0.026	0.163	0.115	0.089	0.231	1.000
28	0.055	0.120	0.052	0.060	0.024	0.168	0.135	0.091	0.294	1.000
29	0.058	0.133	0.056	0.062	0.024	0.165	0.134	0.092	0.275	1.000
30	0.045	0.126	0.065	0.067	0.027	0.165	0.142	0.093	0.270	1.000
31	0.047	0.119	0.058	0.059	0.027	0.170	0.132	0.091	0.296	1.000
32	0.052	0.148	0.076	0.071	0.028	0.175	0.134	0.086	0.229	1.000
33	0.051	0.142	0.063	0.067	0.026	0.165	0.129	0.092	0.264	1.000
34	0.053	0.146	0.056	0.057	0.025	0.178	0.121	0.098	0.267	1.000
35	0.050	0.140	0.046	0.061	0.025	0.176	0.132	0.098	0.271	1.000
36	0.053	0.139	0.057	0.062	0.028	0.171	0.132	0.094	0.262	1.000
37	0.057	0.125	0.053	0.054	0.030	0.170	0.137	0.101	0.273	1.000
38	0.052	0.117	0.053	0.056	0.021	0.167	0.129	0.096	0.308	1.000
39	0.042	0.105	0.043	0.059	0.020	0.155	0.120	0.098	0.359	1.000
40	0.040	0.091	0.054	0.055	0.023	0.148	0.135	0.105	0.349	1.000
41	0.049	0.108	0.037	0.058	0.022	0.159	0.134	0.099	0.334	1.000
42	0.046	0.115	0.045	0.061	0.019	0.158	0.122	0.097	0.337	1.000
43	0.037	0.090	0.035	0.054	0.019	0.140	0.117	0.104	0.406	1.000
44	0.043	0.127	0.047	0.069	0.021	0.151	0.128	0.092	0.323	1.000
45	0.035	0.105	0.034	0.048	0.018	0.146	0.142	0.101	0.371	1.000
46	0.038	0.095	0.035	0.048	0.020	0.136	0.131	0.104	0.393	1.000
47	0.033	0.092	0.034	0.051	0.015	0.128	0.112	0.101	0.433	1.000
48	0.051	0.112	0.041	0.052	0.020	0.140	0.128	0.092	0.364	1.000
49	0.038	0.091	0.032	0.048	0.019	0.133	0.131	0.099	0.408	1.000
50	0.040	0.091	0.029	0.050	0.017	0.138	0.127	0.114	0.393	1.000
51	0.037	0.076	0.033	0.050	0.021	0.137	0.123	0.110	0.412	1.000
52	0.032	0.065	0.034	0.043	0.024	0.134	0.133	0.124	0.412	1.000
53	0.040	0.091	0.036	0.060	0.024	0.157	0.142	0.115	0.336	1.000
54	0.077	0.172	0.060	0.076	0.030	0.163	0.110	0.078	0.234	1.000
55	0.072	0.130	0.045	0.068	0.027	0.162	0.140	0.102	0.254	1.000
