institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.042	0.094	0.038	0.056	0.023	0.151	0.138	0.111	0.348	1.000
1	0.068	0.160	0.060	0.078	0.035	0.188	0.138	0.089	0.184	1.000
2	0.086	0.181	0.073	0.099	0.033	0.192	0.126	0.080	0.130	1.000
3	0.096	0.213	0.074	0.096	0.036	0.192	0.109	0.073	0.112	1.000
4	0.093	0.209	0.071	0.084	0.032	0.183	0.123	0.077	0.128	1.000
5	0.088	0.177	0.059	0.085	0.029	0.177	0.119	0.085	0.181	1.000
6	0.095	0.178	0.062	0.085	0.034	0.170	0.108	0.078	0.191	1.000
7	0.091	0.182	0.065	0.075	0.032	0.171	0.109	0.068	0.207	1.000
8	0.087	0.170	0.063	0.078	0.030	0.162	0.105	0.064	0.241	1.000
9	0.075	0.164	0.049	0.075	0.029	0.146	0.096	0.070	0.297	1.000
10	0.076	0.166	0.055	0.072	0.025	0.143	0.084	0.071	0.309	1.000
11	0.074	0.168	0.046	0.062	0.029	0.142	0.084	0.072	0.324	1.000
12	0.077	0.190	0.060	0.075	0.028	0.138	0.091	0.072	0.270	1.000
13	0.092	0.188	0.057	0.070	0.028	0.142	0.092	0.071	0.260	1.000
14	0.098	0.186	0.058	0.074	0.023	0.135	0.089	0.075	0.261	1.000
15	0.101	0.214	0.062	0.080	0.030	0.132	0.090	0.066	0.225	1.000
16	0.087	0.185	0.064	0.078	0.030	0.133	0.092	0.069	0.261	1.000
17	0.083	0.171	0.056	0.071	0.028	0.151	0.093	0.077	0.271	1.000
18	0.094	0.210	0.063	0.071	0.044	0.157	0.095	0.073	0.193	1.000
19	0.105	0.212	0.063	0.077	0.036	0.168	0.094	0.050	0.195	1.000
20	0.080	0.171	0.057	0.064	0.031	0.145	0.090	0.070	0.293	1.000
21	0.092	0.134	0.033	0.061	0.019	0.123	0.114	0.080	0.344	1.000
22	0.064	0.094	0.028	0.055	0.015	0.112	0.111	0.075	0.446	1.000
23	0.065	0.139	0.042	0.061	0.034	0.130	0.105	0.077	0.347	1.000
24	0.054	0.156	0.030	0.071	0.029	0.085	0.089	0.078	0.408	1.000
