institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.059	0.142	0.053	0.070	0.032	0.171	0.130	0.103	0.240	1.000
1	0.067	0.110	0.046	0.067	0.033	0.168	0.134	0.082	0.293	1.000
2	0.054	0.125	0.063	0.069	0.022	0.176	0.142	0.104	0.246	1.000
3	0.056	0.142	0.063	0.065	0.023	0.161	0.131	0.101	0.258	1.000
4	0.050	0.139	0.057	0.063	0.023	0.161	0.142	0.096	0.270	1.000
5	0.053	0.122	0.048	0.063	0.024	0.174	0.142	0.096	0.277	1.000
6	0.040	0.105	0.042	0.052	0.020	0.145	0.139	0.105	0.352	1.000
7	0.039	0.099	0.035	0.047	0.021	0.148	0.133	0.103	0.375	1.000
8	0.043	0.111	0.035	0.053	0.020	0.148	0.130	0.101	0.359	1.000
9	0.041	0.106	0.036	0.054	0.024	0.151	0.133	0.101	0.356	1.000
10	0.034	0.077	0.031	0.046	0.020	0.128	0.119	0.109	0.436	1.000
11	0.035	0.076	0.034	0.043	0.018	0.125	0.133	0.103	0.432	1.000
12	0.039	0.080	0.032	0.042	0.024	0.133	0.135	0.104	0.411	1.000
13	0.039	0.078	0.028	0.043	0.016	0.129	0.133	0.119	0.416	1.000
14	0.043	0.100	0.035	0.049	0.021	0.148	0.144	0.106	0.354	1.000
15	0.032	0.082	0.031	0.043	0.020	0.125	0.135	0.103	0.429	1.000
16	0.035	0.085	0.028	0.047	0.019	0.143	0.153	0.116	0.374	1.000
17	0.047	0.100	0.041	0.060	0.023	0.161	0.147	0.115	0.306	1.000
18	0.034	0.087	0.031	0.053	0.019	0.146	0.155	0.131	0.344	1.000
19	0.035	0.073	0.032	0.042	0.020	0.133	0.122	0.120	0.422	1.000
20	0.027	0.080	0.025	0.052	0.019	0.135	0.137	0.124	0.400	1.000
21	0.040	0.065	0.025	0.053	0.020	0.135	0.131	0.125	0.407	1.000
22	0.034	0.064	0.026	0.048	0.020	0.139	0.131	0.124	0.414	1.000
23	0.032	0.062	0.030	0.049	0.026	0.155	0.143	0.130	0.373	1.000
24	0.034	0.063	0.034	0.045	0.023	0.141	0.144	0.124	0.392	1.000
25	0.040	0.087	0.038	0.059	0.026	0.160	0.143	0.111	0.336	1.000
26	0.052	0.125	0.051	0.065	0.026	0.170	0.139	0.097	0.276	1.000
27	0.060	0.150	0.059	0.081	0.029	0.193	0.132	0.093	0.203	1.000
28	0.080	0.175	0.065	0.083	0.034	0.184	0.127	0.086	0.164	1.000
29	0.093	0.193	0.061	0.080	0.030	0.150	0.093	0.066	0.233	1.000
