institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.051	0.110	0.043	0.061	0.025	0.157	0.133	0.104	0.315	1.000
1	0.075	0.178	0.059	0.075	0.032	0.161	0.111	0.073	0.236	1.000
2	0.080	0.189	0.062	0.085	0.029	0.164	0.104	0.078	0.210	1.000
3	0.100	0.212	0.069	0.089	0.035	0.153	0.092	0.059	0.192	1.000
4	0.115	0.231	0.084	0.095	0.034	0.171	0.093	0.060	0.116	1.000
5	0.094	0.182	0.068	0.071	0.028	0.162	0.100	0.073	0.222	1.000
6	0.100	0.194	0.058	0.069	0.032	0.142	0.090	0.067	0.247	1.000
7	0.065	0.109	0.037	0.059	0.027	0.132	0.099	0.081	0.390	1.000
8	0.063	0.173	0.053	0.083	0.039	0.093	0.097	0.071	0.327	1.000
9	0.039	0.069	0.020	0.057	0.019	0.086	0.075	0.140	0.495	1.000
