institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.057	0.130	0.055	0.074	0.026	0.167	0.134	0.096	0.261	1.000
1	0.064	0.127	0.048	0.066	0.033	0.172	0.132	0.093	0.265	1.000
2	0.053	0.119	0.050	0.067	0.024	0.178	0.138	0.101	0.270	1.000
3	0.047	0.134	0.057	0.053	0.019	0.160	0.123	0.091	0.315	1.000
4	0.042	0.109	0.044	0.058	0.025	0.146	0.128	0.096	0.351	1.000
5	0.037	0.093	0.034	0.048	0.019	0.131	0.129	0.102	0.407	1.000
6	0.040	0.095	0.037	0.051	0.017	0.140	0.138	0.101	0.382	1.000
7	0.035	0.094	0.036	0.046	0.018	0.135	0.135	0.105	0.395	1.000
8	0.033	0.084	0.033	0.044	0.017	0.131	0.139	0.103	0.417	1.000
9	0.035	0.091	0.030	0.047	0.019	0.134	0.135	0.108	0.402	1.000
10	0.039	0.093	0.033	0.045	0.022	0.132	0.131	0.105	0.400	1.000
11	0.048	0.105	0.042	0.052	0.022	0.149	0.138	0.110	0.333	1.000
12	0.031	0.079	0.031	0.038	0.016	0.121	0.139	0.124	0.421	1.000
13	0.032	0.083	0.031	0.044	0.020	0.127	0.146	0.118	0.399	1.000
14	0.042	0.099	0.037	0.058	0.021	0.150	0.146	0.102	0.344	1.000
15	0.035	0.076	0.025	0.051	0.022	0.152	0.146	0.126	0.368	1.000
16	0.043	0.094	0.033	0.057	0.026	0.157	0.131	0.118	0.342	1.000
17	0.045	0.091	0.031	0.052	0.023	0.149	0.143	0.108	0.358	1.000
18	0.046	0.075	0.031	0.051	0.021	0.138	0.121	0.119	0.396	1.000
19	0.035	0.053	0.024	0.046	0.018	0.129	0.128	0.125	0.442	1.000
20	0.029	0.055	0.030	0.044	0.020	0.146	0.139	0.134	0.404	1.000
21	0.037	0.081	0.039	0.058	0.025	0.158	0.151	0.118	0.332	1.000
22	0.046	0.114	0.044	0.063	0.029	0.169	0.141	0.105	0.289	1.000
23	0.084	0.183	0.065	0.083	0.032	0.171	0.111	0.076	0.195	1.000
24	0.083	0.165	0.052	0.069	0.027	0.145	0.100	0.076	0.283	1.000
