institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.044	0.098	0.040	0.057	0.024	0.154	0.137	0.109	0.336	1.000
1	0.086	0.192	0.070	0.091	0.038	0.191	0.122	0.078	0.133	1.000
2	0.097	0.202	0.076	0.099	0.036	0.192	0.122	0.069	0.107	1.000
3	0.089	0.179	0.066	0.084	0.032	0.185	0.113	0.076	0.177	1.000
4	0.084	0.189	0.060	0.083	0.033	0.161	0.102	0.072	0.216	1.000
5	0.081	0.188	0.062	0.075	0.029	0.159	0.100	0.070	0.236	1.000
6	0.079	0.163	0.050	0.066	0.024	0.142	0.101	0.072	0.303	1.000
7	0.079	0.165	0.047	0.062	0.024	0.122	0.090	0.075	0.337	1.000
8	0.086	0.161	0.046	0.061	0.024	0.117	0.074	0.074	0.357	1.000
9	0.088	0.171	0.048	0.066	0.025	0.117	0.076	0.074	0.334	1.000
10	0.097	0.182	0.059	0.073	0.033	0.139	0.085	0.073	0.260	1.000
11	0.108	0.203	0.059	0.075	0.039	0.169	0.106	0.065	0.176	1.000
12	0.088	0.160	0.053	0.062	0.022	0.145	0.096	0.061	0.314	1.000
13	0.063	0.142	0.050	0.057	0.032	0.122	0.112	0.081	0.341	1.000
14	0.067	0.230	0.041	0.082	0.035	0.122	0.071	0.068	0.285	1.000
