institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.053	0.118	0.049	0.065	0.026	0.158	0.134	0.097	0.299	1.000
1	0.037	0.078	0.037	0.045	0.024	0.149	0.134	0.117	0.380	1.000
2	0.039	0.087	0.032	0.048	0.022	0.143	0.137	0.112	0.380	1.000
3	0.035	0.080	0.033	0.051	0.023	0.146	0.144	0.119	0.370	1.000
4	0.043	0.091	0.034	0.062	0.021	0.157	0.134	0.114	0.345	1.000
5	0.045	0.096	0.036	0.065	0.023	0.168	0.147	0.112	0.309	1.000
6	0.058	0.154	0.058	0.076	0.029	0.193	0.141	0.094	0.198	1.000
7	0.064	0.135	0.062	0.083	0.028	0.178	0.130	0.089	0.232	1.000
8	0.067	0.146	0.056	0.078	0.029	0.172	0.128	0.093	0.231	1.000
9	0.067	0.158	0.067	0.083	0.032	0.178	0.131	0.088	0.196	1.000
10	0.087	0.205	0.069	0.088	0.035	0.194	0.111	0.077	0.133	1.000
11	0.090	0.188	0.061	0.088	0.035	0.181	0.123	0.073	0.162	1.000
12	0.093	0.200	0.063	0.078	0.030	0.168	0.106	0.073	0.189	1.000
13	0.079	0.155	0.049	0.067	0.028	0.125	0.088	0.075	0.335	1.000
14	0.096	0.188	0.054	0.067	0.021	0.141	0.098	0.076	0.259	1.000
15	0.105	0.238	0.053	0.068	0.015	0.122	0.078	0.037	0.284	1.000
