institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.046	0.105	0.043	0.060	0.025	0.158	0.136	0.108	0.319	1.000
1	0.082	0.170	0.065	0.085	0.033	0.178	0.124	0.080	0.184	1.000
2	0.090	0.201	0.068	0.090	0.035	0.173	0.102	0.064	0.177	1.000
3	0.093	0.219	0.066	0.084	0.031	0.172	0.102	0.067	0.166	1.000
4	0.106	0.219	0.065	0.081	0.033	0.166	0.100	0.064	0.166	1.000
5	0.092	0.179	0.053	0.068	0.026	0.137	0.098	0.072	0.275	1.000
6	0.087	0.172	0.051	0.059	0.025	0.138	0.093	0.073	0.303	1.000
7	0.070	0.126	0.035	0.052	0.021	0.108	0.085	0.086	0.416	1.000
8	0.080	0.155	0.045	0.059	0.023	0.099	0.073	0.068	0.398	1.000
9	0.104	0.100	0.020	0.026	0.018	0.067	0.094	0.100	0.472	1.000
10	0.066	0.125	0.047	0.037	0.021	0.124	0.114	0.104	0.363	1.000
