institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.065	0.131	0.054	0.067	0.032	0.171	0.133	0.095	0.254	1.000
1	0.055	0.126	0.050	0.066	0.025	0.162	0.139	0.096	0.282	1.000
2	0.044	0.121	0.051	0.067	0.023	0.163	0.128	0.094	0.307	1.000
3	0.037	0.089	0.034	0.052	0.020	0.139	0.124	0.103	0.402	1.000
4	0.037	0.095	0.033	0.046	0.018	0.135	0.133	0.103	0.399	1.000
5	0.038	0.083	0.028	0.041	0.019	0.126	0.124	0.105	0.436	1.000
6	0.033	0.074	0.030	0.038	0.018	0.125	0.133	0.111	0.438	1.000
7	0.038	0.081	0.032	0.052	0.020	0.139	0.137	0.120	0.381	1.000
8	0.046	0.104	0.042	0.060	0.025	0.160	0.135	0.108	0.320	1.000
9	0.074	0.155	0.057	0.076	0.031	0.169	0.122	0.089	0.227	1.000
10	0.083	0.185	0.054	0.075	0.026	0.148	0.097	0.068	0.264	1.000
