institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.058	0.133	0.058	0.074	0.026	0.173	0.129	0.093	0.256	1.000
1	0.045	0.101	0.041	0.058	0.024	0.162	0.134	0.101	0.335	1.000
2	0.048	0.100	0.039	0.054	0.025	0.150	0.128	0.104	0.352	1.000
3	0.046	0.103	0.043	0.061	0.024	0.159	0.132	0.105	0.327	1.000
4	0.044	0.102	0.039	0.056	0.026	0.134	0.117	0.105	0.377	1.000
5	0.040	0.089	0.045	0.054	0.030	0.159	0.139	0.114	0.330	1.000
6	0.033	0.083	0.033	0.052	0.022	0.148	0.142	0.119	0.367	1.000
7	0.038	0.086	0.035	0.052	0.022	0.140	0.142	0.112	0.375	1.000
8	0.036	0.081	0.031	0.047	0.021	0.146	0.146	0.117	0.375	1.000
9	0.036	0.074	0.026	0.041	0.021	0.136	0.140	0.116	0.412	1.000
10	0.034	0.070	0.028	0.047	0.018	0.138	0.140	0.116	0.411	1.000
11	0.037	0.070	0.028	0.047	0.017	0.143	0.135	0.126	0.397	1.000
12	0.041	0.072	0.033	0.050	0.020	0.152	0.143	0.122	0.368	1.000
13	0.040	0.105	0.037	0.064	0.023	0.165	0.142	0.105	0.319	1.000
14	0.044	0.114	0.039	0.074	0.027	0.164	0.141	0.102	0.295	1.000
15	0.057	0.128	0.049	0.071	0.023	0.172	0.140	0.103	0.257	1.000
16	0.063	0.147	0.059	0.077	0.030	0.181	0.133	0.092	0.216	1.000
17	0.062	0.136	0.056	0.075	0.031	0.180	0.142	0.095	0.222	1.000
18	0.073	0.164	0.063	0.079	0.031	0.187	0.138	0.088	0.177	1.000
19	0.074	0.175	0.067	0.080	0.034	0.190	0.130	0.091	0.159	1.000
20	0.079	0.174	0.069	0.081	0.036	0.187	0.119	0.084	0.171	1.000
21	0.071	0.192	0.076	0.093	0.035	0.193	0.122	0.084	0.135	1.000
22	0.080	0.186	0.074	0.083	0.035	0.181	0.119	0.085	0.156	1.000
23	0.107	0.213	0.073	0.091	0.039	0.175	0.101	0.064	0.137	1.000
24	0.114	0.225	0.070	0.090	0.040	0.184	0.093	0.064	0.121	1.000
25	0.084	0.180	0.055	0.081	0.029	0.147	0.089	0.068	0.267	1.000
26	0.098	0.196	0.061	0.073	0.027	0.141	0.088	0.064	0.251	1.000
27	0.089	0.183	0.062	0.081	0.029	0.143	0.090	0.062	0.261	1.000
28	0.075	0.160	0.046	0.064	0.024	0.128	0.099	0.071	0.333	1.000
29	0.077	0.170	0.048	0.064	0.023	0.127	0.092	0.073	0.328	1.000
30	0.080	0.145	0.042	0.071	0.017	0.118	0.090	0.078	0.359	1.000
31	0.078	0.144	0.045	0.058	0.018	0.121	0.097	0.078	0.360	1.000
32	0.080	0.142	0.055	0.069	0.021	0.129	0.091	0.072	0.341	1.000
33	0.086	0.150	0.035	0.047	0.015	0.092	0.085	0.074	0.416	1.000
34	0.097	0.195	0.047	0.056	0.009	0.096	0.087	0.088	0.325	1.000
35	0.094	0.258	0.014	0.057	0.006	0.055	0.124	0.074	0.319	1.000
