institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.046	0.103	0.042	0.059	0.025	0.155	0.136	0.107	0.325	1.000
1	0.070	0.161	0.056	0.079	0.030	0.173	0.122	0.084	0.224	1.000
2	0.094	0.202	0.068	0.083	0.036	0.171	0.100	0.069	0.178	1.000
3	0.101	0.195	0.061	0.076	0.028	0.148	0.094	0.067	0.229	1.000
4	0.088	0.184	0.050	0.069	0.024	0.129	0.092	0.067	0.296	1.000
5	0.079	0.134	0.042	0.051	0.020	0.112	0.085	0.072	0.405	1.000
6	0.124	0.194	0.056	0.064	0.033	0.142	0.091	0.069	0.227	1.000
7	0.086	0.135	0.039	0.044	0.017	0.089	0.105	0.084	0.400	1.000
8	0.106	0.077	0.022	0.022	0.004	0.051	0.080	0.106	0.532	1.000
9	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
10	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
