institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.058	0.129	0.057	0.072	0.025	0.172	0.130	0.095	0.261	1.000
1	0.050	0.105	0.043	0.057	0.027	0.160	0.132	0.103	0.325	1.000
2	0.057	0.109	0.042	0.059	0.022	0.147	0.123	0.099	0.341	1.000
3	0.048	0.118	0.047	0.062	0.025	0.159	0.135	0.100	0.306	1.000
4	0.040	0.109	0.040	0.058	0.023	0.140	0.131	0.107	0.352	1.000
5	0.036	0.073	0.039	0.048	0.027	0.148	0.139	0.119	0.371	1.000
6	0.033	0.074	0.028	0.043	0.021	0.140	0.142	0.116	0.403	1.000
7	0.039	0.076	0.028	0.050	0.021	0.148	0.146	0.119	0.373	1.000
8	0.036	0.082	0.031	0.048	0.021	0.142	0.139	0.117	0.384	1.000
9	0.028	0.063	0.025	0.046	0.019	0.134	0.146	0.123	0.416	1.000
10	0.038	0.071	0.029	0.049	0.018	0.145	0.132	0.116	0.403	1.000
11	0.039	0.083	0.035	0.053	0.020	0.151	0.140	0.118	0.360	1.000
12	0.042	0.102	0.045	0.064	0.023	0.168	0.139	0.104	0.312	1.000
13	0.050	0.126	0.043	0.075	0.028	0.172	0.141	0.101	0.263	1.000
14	0.058	0.139	0.051	0.077	0.027	0.177	0.140	0.099	0.233	1.000
15	0.063	0.141	0.059	0.075	0.031	0.179	0.134	0.093	0.226	1.000
16	0.064	0.141	0.061	0.079	0.032	0.179	0.140	0.095	0.208	1.000
17	0.072	0.166	0.064	0.084	0.033	0.194	0.132	0.086	0.168	1.000
18	0.076	0.181	0.069	0.080	0.034	0.194	0.128	0.092	0.147	1.000
19	0.077	0.190	0.073	0.086	0.035	0.183	0.115	0.082	0.159	1.000
20	0.078	0.190	0.075	0.092	0.038	0.196	0.116	0.079	0.137	1.000
21	0.107	0.216	0.074	0.089	0.038	0.182	0.108	0.069	0.119	1.000
22	0.119	0.232	0.074	0.097	0.038	0.169	0.090	0.051	0.131	1.000
23	0.103	0.212	0.059	0.084	0.035	0.164	0.089	0.070	0.184	1.000
24	0.087	0.187	0.059	0.075	0.028	0.148	0.091	0.065	0.261	1.000
25	0.096	0.187	0.061	0.069	0.024	0.139	0.085	0.069	0.272	1.000
26	0.080	0.174	0.055	0.073	0.028	0.143	0.097	0.068	0.280	1.000
27	0.073	0.147	0.042	0.065	0.023	0.104	0.092	0.069	0.386	1.000
28	0.074	0.140	0.043	0.066	0.016	0.110	0.088	0.079	0.383	1.000
29	0.054	0.066	0.025	0.037	0.012	0.080	0.084	0.090	0.551	1.000
30	0.088	0.148	0.039	0.049	0.016	0.092	0.101	0.070	0.398	1.000
31	0.074	0.147	0.024	0.042	0.006	0.097	0.093	0.106	0.411	1.000
32	0.096	0.270	0.010	0.058	0.006	0.047	0.129	0.070	0.314	1.000
