institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.044	0.098	0.040	0.057	0.024	0.153	0.137	0.109	0.340	1.000
1	0.051	0.118	0.049	0.065	0.028	0.167	0.137	0.102	0.282	1.000
2	0.074	0.162	0.064	0.086	0.034	0.196	0.117	0.081	0.187	1.000
3	0.090	0.207	0.070	0.095	0.035	0.176	0.108	0.072	0.146	1.000
4	0.085	0.193	0.063	0.079	0.029	0.148	0.101	0.074	0.229	1.000
5	0.102	0.204	0.061	0.081	0.031	0.150	0.090	0.063	0.217	1.000
6	0.107	0.218	0.063	0.081	0.031	0.154	0.088	0.059	0.198	1.000
7	0.105	0.211	0.065	0.076	0.027	0.143	0.094	0.061	0.219	1.000
8	0.080	0.154	0.040	0.053	0.023	0.119	0.088	0.076	0.367	1.000
9	0.089	0.146	0.039	0.052	0.024	0.111	0.092	0.078	0.368	1.000
10	0.068	0.127	0.026	0.039	0.015	0.079	0.089	0.073	0.485	1.000
11	0.091	0.176	0.032	0.053	0.014	0.089	0.100	0.077	0.370	1.000
12	0.110	0.083	0.023	0.026	0.006	0.056	0.078	0.104	0.514	1.000
13	0.109	0.079	0.023	0.024	0.004	0.053	0.081	0.102	0.525	1.000
14	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
15	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
16	0.109	0.069	0.022	0.023	0.003	0.049	0.081	0.106	0.539	1.000
