opeid8	mode	provider	time	demog_pop_18_to_64_latinx	demog_pop_18_to_64_white	demog_pop_18_to_64_black	demog_pop_18_to_64_all
all	all	all	99999	 1535080	 1564337	 751409	 4252203
145909	walk	otp	30	1145.0533360582226097940	1762.2780360091703031261	1418.8477405578266084598	5896.2773094980821435600
145909	drive	mapbox	30	705725.331366650928952704281785	549585.354759136685713839927624	409066.154063710294981278656338	1922773.255463149614744844572404
145909	transit	otp	30	1145.0533360582226097940	1762.2780360091703031261	1418.8477405578266084598	5896.2773094980821435600
145993	walk	otp	30	38.66194386098259435	10.29606847206916149	7.23619270125342675	75.91799885429309436
145993	drive	mapbox	30	682396.1343016994342511419530	561367.2078572542679748104786	321575.8473155147736249401072	1745293.6122994184667990626950
145993	transit	otp	30	38.66194386098259435	10.29606847206916149	7.23619270125342675	75.91799885429309436
147935	walk	otp	30	1538.9672731101836515374	4654.2519235751714996820	609.3690018506952399338	7969.0309166614913483595
147935	drive	mapbox	30	257818.405938577770836168144185	202552.414876863760049098689524	51883.106274874620509464735338	548144.148280312308545592012504
147935	transit	otp	30	1538.9672731101836515374	4654.2519235751714996820	609.3690018506952399338	7969.0309166614913483595
149916	walk	otp	30	12366.950010320571817191	1030.663275419376996383	5254.953130754794661546	19148.497754076220916774
149916	drive	mapbox	30	681978.329220815681205958821785	525980.616853767398672145197624	396732.861329107279085053216338	1854025.881644026489987463862404
149916	transit	otp	30	58097.9283628364537358918	12241.1880435050962087784	28153.9834352505269294142	112025.2373703935166859514
226037	walk	otp	30	492.2348302944916308710	4016.7596250631944536970	69.4884573422240861020	4970.9405949725019213320
226037	drive	mapbox	30	116458.39472495722821224740841540	228062.28154399865664747150101564	58574.58938582727272632421091060	428721.03137857806318308321903692
226037	transit	otp	30	492.2348302944916308710	4016.7596250631944536970	69.4884573422240861020	4970.9405949725019213320
239710	walk	otp	30	475.257459249827228946	679.686113589490797143	518.700797291117250052	1871.713318625370997535
239710	drive	mapbox	30	539539.532951777420455103385	512769.968656606007773788632	267822.236189429287275513367	1538105.562938885575663005185
239710	transit	otp	30	556.436466473802815928	977.066354338544222924	526.432131312448258336	2303.839666603336281980
250615	walk	otp	30	13345.362489776167560915	1947.600646002725342627	2128.072162025168411209	22180.757096787235896103
250615	drive	mapbox	30	686094.114014831597014876810	535371.564835666640375077018	395152.658356905883103697077	1871233.056512454145282756687
250615	transit	otp	30	55149.7123835692622477138	14315.7091542383707320694	18406.2209050254767149626	101963.0718356868672475929
353900	walk	otp	30	807.0510861733695793396433	1336.4257957216273215866716	60.2015876853272552305000	2261.1460485723228771581734
353900	drive	mapbox	30	95412.180712511803686922229167	164985.118783961967332945015294	51659.531625987355879617368352	343124.946806528553655220332256
353900	transit	otp	30	807.0510861733695793396433	1336.4257957216273215866716	60.2015876853272552305000	2261.1460485723228771581734
353911	walk	otp	30	8.428676848835320260104	26.315939094046231654791	1.775704392310811852550	36.686052745141372873683
353911	drive	mapbox	30	24804.42018310802603467822970	38359.34476255062672285921640	7579.60688143698689922727302	72422.71224608236225304235101
353911	transit	otp	30	8.428676848835320260104	26.315939094046231654791	1.775704392310811852550	36.686052745141372873683
353913	walk	otp	30	48.673669249402019490	124.762579412548374540	26.021245613045471040	209.254183471573996280
353913	drive	mapbox	30	21614.96751994084177856740	35672.19878844194460800903	19164.70734496307442692774	105375.14591736812842435600
353913	transit	otp	30	48.673669249402019490	124.762579412548374540	26.021245613045471040	209.254183471573996280
354505	walk	otp	30	3913.4489004466831360012	13298.4198829548279333204	3428.7636260718001325874	23272.5395852740252482490
354505	drive	mapbox	30	943731.0326671293202446885094	475118.9953424162219416269537	463388.0438598083717266873850	2085173.5593728687362206881947
354505	transit	otp	30	22041.4240770310013113708	41609.3577418591938454143	18969.8103051369516481822	93282.1274742119231109519
354914	walk	otp	30	14.984553844713244860	25.244980054553027700	4.548157264520009280	45.048414810483901440
354914	drive	mapbox	30	26739.1315314619115459543346	47232.3603194981834371680312	8063.1407415719857864737471	93063.1487020050408839317387
354914	transit	otp	30	14.984553844713244860	25.244980054553027700	4.548157264520009280	45.048414810483901440
355600	walk	otp	30	3014.248579129666732766	874.003095133584315980	5179.384034724675710970	9323.834618391511163151
355600	drive	mapbox	30	571120.8860342634016169182219195	481370.0631829411493890025471225	262099.0087351234872662977332736	1419371.8550206079820541278553603
355600	transit	otp	30	6598.5228296759878428970	2093.0637778201362581380	11525.7956670279160421940	20987.3117233758780207850
357600	walk	otp	30	7954.299971426372749122	2480.274985065706314448	1264.597778552412047913	12833.765806741931237713
357600	drive	mapbox	30	652690.513150032727297457040	445982.387978560298413252838	377005.371435263955350922257	1699543.403697921828965367977
357600	transit	otp	30	32241.1448532732346066366	11264.9533464913930582646	9190.3615585875955851214	59116.1992451816016288308
357603	walk	otp	30	1388.665183866480790194	8344.158443136937972902	536.659602333375180392	12316.750775608596247585
357603	drive	mapbox	30	862700.457375718647915343901	494478.980888747993054410695	430676.004621181526282848864	2014126.182236809607006630317
357603	transit	otp	30	7183.1074353694316802200	33041.1306629640468794978	2450.9377300110430454543	50989.9519307917238872897
357604	walk	otp	30	7317.822396386179103960	356.948234849003020608	1745.371382827858579279	9438.557465580752674033
357604	drive	mapbox	30	915489.287986353120433217221	450506.253138195855245466435	415041.404316381982955369454	1930597.052300184619363794417
357604	transit	otp	30	14135.674550733382945472	1125.841932923980065324	5417.616235716094237661	20862.170937225687090204
357608	walk	otp	30	7447.979726938997866720	707.395845850652215026	1289.292662701808239369	9588.393510436414576370
357608	drive	mapbox	30	913401.0939959328958372413630	448861.8796565842307441581586	426701.6851281616799682952472	1945185.4309664362597527440650
357608	transit	otp	30	24689.3635902886007249540	8731.8353204639462319646	14455.9237165188697001652	48826.4923164696578082074
358300	walk	otp	30	4503.752925343210835990	1278.641044308815085595	827.177555063125425516	6760.492277753157841524
358300	drive	mapbox	30	246054.1884009746196558721558	135812.5915593630757041028496	50046.1820666651833609060300	445419.2560389208596646951058
358300	transit	otp	30	4503.752925343210835990	1278.641044308815085595	827.177555063125425516	6760.492277753157841524
358310	walk	otp	30	142.5642582762318487784	129.2860788299327762369	96.3971390242244407932	371.1056977928087420942
358310	drive	mapbox	30	424411.4355859666206661538878	203748.1835063097899199353356	148743.3654059072820317690280	808250.0841630779765482513958
358310	transit	otp	30	142.5642582762318487784	129.2860788299327762369	96.3971390242244407932	371.1056977928087420942
358401	walk	otp	30	552.3603470521836976007	1585.5457807907163940764	203.7257906919137045714	2726.0491181138732825602
358401	drive	mapbox	30	913446.850492067081725356881	548034.666578510833609658375	462267.750340836372118156344	2159998.973195325250451099437
358401	transit	otp	30	10446.2486749242036158996	31973.5032495477891158637	3229.8761455332843169659	52917.1404200891030874553
359801	walk	otp	30	195.80443911179589984684	1044.78462578513456143830	74.91475141151865424899	1446.38101148447133744351
359801	drive	mapbox	30	180958.57883026881489319053406540	267123.81405211561657180856989964	86428.91838441694938115692225760	569337.88528677411497475070797792
359801	transit	otp	30	195.80443911179589984684	1044.78462578513456143830	74.91475141151865424899	1446.38101148447133744351
359810	walk	otp	30	7023.945599765642877853	417.623568025820565647	2524.007503374970623835	10306.356263678085266246
359810	drive	mapbox	30	772706.6625342008564200771931035	623373.4853021433782481100124715	350413.9948790972911509439441756	1895565.4694491264031923035420083
359810	transit	otp	30	10325.285034140135802963	614.978964453634930988	3496.744429196504144866	14949.548342682275452313
360400	walk	otp	30	900.5919967239067555883	6070.8659520371475806362	502.5509759521055646850	8976.1930834771727797714
360400	drive	mapbox	30	650262.152139565745359276869	311949.439563591394320155615	312168.636858179081884137098	1392205.938964843062000854937
360400	transit	otp	30	7555.8431234722755090249	36196.3714848488547982362	5747.8321239060406443040	62521.2358313366166588137
360602	walk	otp	30	207.4734692440918349555	1487.7780529558619338799	74.4944204455785096890	1943.4550854614872215782
360602	drive	mapbox	30	191468.39197639006533233464384890	272723.85161291155352535767025714	90795.74964491211312811479341020	591315.07627260169314237465604122
360602	transit	otp	30	207.4734692440918349555	1487.7780529558619338799	74.4944204455785096890	1943.4550854614872215782
360606	walk	otp	30	482.2587835800124981626	1093.2267220246794947274	41.1228420106987401534	1650.2543092605078840780
360606	drive	mapbox	30	220759.8684893961934319899901199	228944.2068525847738820124024497	111629.4377823047661522997666576	588600.9190588505273491246549969
360606	transit	otp	30	482.2587835800124981626	1093.2267220246794947274	41.1228420106987401534	1650.2543092605078840780
360900	walk	otp	30	3905.204778450175632203	3344.132350490978203778	206.246661037946932878	8012.608594129959561115
360900	drive	mapbox	30	486646.510259511232703562747585	345967.012804083424140924425224	218684.875317086243130754428338	1130380.962669906604385658295204
